"Year","LSO production Eora 199.082 (2023)"
1970,0.459000
1971,0.467000
1972,0.476000
1973,0.486000
1974,0.476000
1975,0.484000
1976,0.526000
1977,0.493000
1978,0.514000
1979,0.515000
1980,0.550000
1981,0.660000
1982,0.677000
1983,0.625000
1984,0.641000
1985,0.721000
1986,0.806000
1987,0.827000
1988,0.923000
1989,1.010000
1990,1.480000
1991,1.540000
1992,1.600000
1993,1.640000
1994,1.680000
1995,1.720000
1996,1.750000
1997,1.780000
1998,1.810000
1999,1.840000
2000,1.860000
2001,1.890000
2002,1.910000
2003,1.940000
2004,1.990000
2005,2.020000
2006,2.050000
2007,2.080000
2008,2.140000
2009,2.230000
2010,2.290000
2011,2.340000
2012,2.410000
2013,2.440000
2014,2.480000
2015,2.540000
2016,2.600000
2017,2.770000
2018,2.780767
2019,2.846421
2020,2.928392
2021,3.024480
2022,3.281740
