"Year","PNG production Eora 199.082"
1990,2.310000
1991,2.220000
1992,2.260000
1993,2.250000
1994,1.590000
1995,1.820000
1996,1.920000
1997,1.920000
1998,2.680000
1999,2.000000
2000,2.270000
2001,2.410000
2002,3.010000
2003,3.310000
2004,3.670000
2005,4.370000
2006,4.440000
2007,3.850000
2008,3.730000
2009,3.120000
2010,3.080000
2011,3.660000
2012,4.970000
2013,6.080000
2014,4.440000
2015,3.780000
2016,3.710000
2017,3.720000
2018,3.870306
2019,4.074780
2020,4.462573
2021,4.917394
2022,
