"Year","EGY production Eora 199.082 (2023)","EGY production GCB 2023v26","EGY consumption Eora 199.082 (2023)","EGY consumption GCB 2023v26"
1970,24.400000,,25.142590,
1971,25.800000,,26.248690,
1972,28.700000,,28.798120,
1973,26.500000,,27.001540,
1974,29.100000,,30.210500,
1975,34.600000,,38.382360,
1976,38.600000,,45.472330,
1977,42.400000,,49.667770,
1978,44.300000,,53.510490,
1979,48.500000,,57.224630,
1980,51.400000,,66.107650,
1981,57.800000,,72.648350,
1982,64.100000,,79.399710,
1983,64.700000,,80.417430,
1984,72,,89.354090,
1985,72.200000,,100.611600,
1986,84.100000,,84.488690,
1987,84.700000,,83.507970,
1988,84.400000,,106.822200,
1989,81.700000,,95.524130,
1990,85.500000,75.217533,89.656040,80.404861
1991,85.200000,77.295842,87.820790,76.318995
1992,84.700000,79.939884,85.942850,85.188136
1993,94.200000,92.277980,91.751090,91.864613
1994,84.200000,88.372733,84.736650,90.430080
1995,92.200000,98.994499,95.666170,99.929932
1996,96.300000,97.950855,100.641800,101.485937
1997,99.400000,111.704885,103.775200,113.067086
1998,110,125.025715,114.108900,129.706268
1999,112,128.221105,115.437900,134.085549
2000,123,143.836043,126.850700,137.280701
2001,116,127.656532,119.138100,121.097987
2002,121,129.154996,123.144200,121.721324
2003,143,149.919386,142.098300,137.692935
2004,150,152.575693,149.801900,133.375711
2005,169,168.216820,170.746100,149.496690
2006,181,179.194147,184.230500,158.556357
2007,190,188.805041,194.804000,172.474303
2008,199,197.727721,206.105900,182.771769
2009,206,206.477902,211.681600,199.055173
2010,206,203.607575,211.006400,202.111424
2011,222,216.917285,226.045400,213.189778
2012,219,213.733512,224.660500,221.383834
2013,215,211.418911,219.221400,213.633711
2014,205,226.899334,209.203300,240.494447
2015,210,224.479730,212.311600,247.049544
2016,219,239.385584,241.281600,260.187782
2017,221,260.110602,241.233300,257.008670
2018,212.204900,243.907877,232.847500,242.825601
2019,218.139100,256.140175,235.248200,253.761194
2020,224.875500,227.637955,239.564900,234.864669
2021,231.958700,246.673748,246.074500,265.254057
2022,265.214400,,271.433600,
