"Year","SLV production Eora 199.082 (2023)","SLV production GCB 2023v26"
1970,1.620000,
1971,1.760000,
1972,1.930000,
1973,2.230000,
1974,2.230000,
1975,2.370000,
1976,2.500000,
1977,2.570000,
1978,2.740000,
1979,2.620000,
1980,2.350000,
1981,2.170000,
1982,2,
1983,2.190000,
1984,1.840000,
1985,2.250000,
1986,2.250000,
1987,2.710000,
1988,2.730000,
1989,2.830000,
1990,2.720000,2.475071
1991,3.400000,3.154717
1992,3.560000,3.316777
1993,3.990000,3.975594
1994,4.790000,4.512672
1995,5.170000,4.998356
1996,4.740000,4.414490
1997,5.750000,5.415735
1998,6,5.731188
1999,5.890000,5.587859
2000,5.900000,5.670975
2001,6.110000,5.857395
2002,6.140000,6.069883
2003,6.590000,6.434851
2004,6.490000,6.253812
2005,6.600000,6.297707
2006,7.020000,6.717812
2007,7.150000,6.845580
2008,6.760000,6.404717
2009,6.680000,6.312459
2010,6.730000,6.318629
2011,6.960000,6.499405
2012,7.060000,6.471882
2013,6.560000,6.094472
2014,6.650000,6.151155
2015,8.270000,6.667772
2016,8.610000,6.595795
2017,8.570000,5.969700
2018,8.746417,6.262603
2019,9.042406,7.549650
2020,9.340113,6.594499
2021,9.643020,7.470958
2022,9.390686,
