"Year","FRA production EXIOBASE 3.8.2","FRA production WIOD2016","FRA production OECDv2","FRA production Eora 199.082 (2023)","FRA production FIGARO April 2022","FRA production GCB 2023v26","FRA production SDES 2023 (official)","FRA production Eurostat NAMEA","FRA consumption EXIOBASE 3.8.2","FRA consumption WIOD2016","FRA consumption OECDv2","FRA consumption Eora 199.082 (2023)","FRA consumption FIGARO April 2022","FRA consumption GCB 2023v26","FRA consumption SDES 2023 (official)","FRA net_trade EXIOBASE 3.8.2","FRA net_trade WIOD2016","FRA net_trade OECDv2","FRA net_trade Eora 199.082 (2023)","FRA net_trade FIGARO April 2022","FRA net_trade GCB 2023v26","FRA net_trade SDES 2023 (official)"
1970,,,,471,,,,,,,,472.580400,,,,,,,1.580400,,,
1971,,,,491,,,,,,,,492.809200,,,,,,,1.809200,,,
1972,,,,510,,,,,,,,512.425300,,,,,,,2.425300,,,
1973,,,,547,,,,,,,,548.725000,,,,,,,1.725000,,,
1974,,,,530,,,,,,,,527.769300,,,,,,,-2.230700,,,
1975,,,,474,,,,,,,,488.235100,,,,,,,14.235100,,,
1976,,,,533,,,,,,,,560.206000,,,,,,,27.206000,,,
1977,,,,506,,,,,,,,549.030200,,,,,,,43.030200,,,
1978,,,,528,,,,,,,,571.177500,,,,,,,43.177500,,,
1979,,,,554,,,,,,,,614.638100,,,,,,,60.638100,,,
1980,,,,531,,,,,,,,608.842100,,,,,,,77.842100,,,
1981,,,,480,,,,,,,,544.520200,,,,,,,64.520200,,,
1982,,,,460,,,,,,,,518.009600,,,,,,,58.009600,,,
1983,,,,445,,,,,,,,490.675800,,,,,,,45.675800,,,
1984,,,,430,,,,,,,,460.870100,,,,,,,30.870100,,,
1985,,,,422,,,,,,,,477.440400,,,,,,,55.440400,,,
1986,,,,408,,,,,,,,358.898900,,,,,,,-49.101100,,,
1987,,,,400,,,,,,,,351.385800,,,,,,,-48.614200,,,
1988,,,,396,,,,,,,,459.993400,,,,,,,63.993400,,,
1989,,,,416,,,,,,,,506.829700,,,,,,,90.829700,,,
1990,,,,406,,393.430700,,,,,,517.267600,,493.079899,,,,,111.267600,,99.649199,
1991,,,,431,,417.775007,,,,,,544.312600,,504.327316,,,,,113.312600,,86.552309,
1992,,,,421,,407.717271,,,,,,528.582000,,545.937805,,,,,107.582000,,138.220534,
1993,,,,401,,388.397983,,,,,,469.373100,,504.507112,,,,,68.373100,,116.109129,
1994,,,,395,,381.576322,,,,,,493.145800,,492.354736,,,,,98.145800,,110.778414,
1995,368.362761,,356.396662,404,,386.456832,,,453.334159,,454.796767,532.362600,,502.071168,494.089321,84.971397,,98.400105,128.362600,,115.614336,
1996,385.295776,,371.452413,418,,402.893173,,,536.128012,,464.948990,544.352400,,504.597723,,150.832236,,93.496578,126.352400,,101.704550,
1997,377.921659,,363.960974,411,,395.511895,,,453.533181,,439.515934,530.457900,,490.037595,,75.611521,,75.554960,119.457900,,94.525699,
1998,402.223346,,390.750973,430,,413.964532,,,499.605981,,477.337278,553.804200,,509.896952,,97.382635,,86.586305,123.804200,,95.932420,
1999,397.687378,,384.205868,426,,412.369633,,,500.828136,,484.163806,550.511000,,513.188981,,103.140758,,99.957937,124.511000,,100.819349,
2000,394.784412,437.276199,378.665500,421,,406.507504,,,513.108233,532.273381,483.696789,548.173100,,519.230837,514.744019,118.323820,94.997182,105.031290,127.173100,,112.723333,
2001,390.213021,443.392146,385.472792,427,,411.016481,,,509.414141,538.893908,496.945526,548.663700,,518.791546,,119.201120,95.501762,111.472734,121.663700,,107.775066,
2002,384.810816,437.276686,377.926597,423,,406.431021,,,502.465620,537.590689,481.697909,551.903400,,511.183035,,117.654803,100.314003,103.771312,128.903400,,104.752013,
2003,390.256348,440.132424,385.677723,428,,412.456701,,,524.606660,569.568575,520.652602,575.123100,,521.593860,,134.350312,129.436150,134.974879,147.123100,,109.137159,
2004,394.079007,435.717458,385.875575,429,,413.663396,,,535.541526,585.306042,529.128180,584.452600,,542.455361,,141.462519,149.588584,143.252605,155.452600,,128.791965,
