"Year","MKD production Eora 199.082 (2023)"
1970,6.740000
1971,7.030000
1972,6.630000
1973,7.800000
1974,7.840000
1975,7.600000
1976,7.850000
1977,7.600000
1978,8.150000
1979,8.950000
1980,8.500000
1981,9.370000
1982,8.170000
1983,8.650000
1984,9.280000
1985,9.500000
1986,9.840000
1987,9.730000
1988,10.100000
1989,10.100000
1990,10.100000
1991,9.410000
1992,8.840000
1993,9.240000
1994,8.950000
1995,9.140000
1996,8.850000
1997,9.610000
1998,10.300000
1999,9.940000
2000,9.580000
2001,9.710000
2002,10.100000
2003,9.350000
2004,9.110000
2005,9.890000
2006,8.950000
2007,9.470000
2008,9.520000
2009,9.610000
2010,9.710000
2011,9.790000
2012,9.890000
2013,8.980000
2014,8.490000
2015,8.130000
2016,8.050000
2017,8.570000
2018,8.570000
2019,8.570000
2020,8.570000
2021,8.570000
2022,8.570000
