"Year","NIC production Eora 199.082 (2023)","NIC production GCB 2023v26","NIC consumption Eora 199.082 (2023)","NIC consumption GCB 2023v26","NIC net_trade Eora 199.082 (2023)","NIC net_trade GCB 2023v26"
1970,1.440000,,0.942782,,-0.497218,
1971,1.550000,,0.721819,,-0.828181,
1972,1.650000,,0.356575,,-1.293425,
1973,1.900000,,0.391433,,-1.508567,
1974,2,,0.522970,,-1.477030,
1975,1.970000,,0.966472,,-1.003529,
1976,2.280000,,1.565095,,-0.714905,
1977,2.910000,,2.862155,,-0.047845,
1978,2.700000,,2.574426,,-0.125574,
1979,1.760000,,1.897856,,0.137856,
1980,2.090000,,2.260738,,0.170738,
1981,2.200000,,2.413839,,0.213839,
1982,2.180000,,2.127228,,-0.052772,
1983,2.100000,,1.635940,,-0.464060,
1984,1.930000,,1.238056,,-0.691944,
1985,2.080000,,2.445688,,0.365688,
1986,2.380000,,-0.028040,,-2.408040,
1987,2.510000,,-0.048805,,-2.558805,
1988,2.360000,,1.947361,,-0.412639,
1989,1.520000,,2.394770,,0.874770,
1990,2.110000,2.043946,2.717785,2.688291,0.607785,0.644344
1991,2.050000,1.986324,2.758358,2.651224,0.708358,0.664901
1992,2.440000,2.372617,2.404756,3.178661,-0.035244,0.806043
1993,2.340000,2.282398,-0.915985,3.024443,-3.255985,0.742045
1994,2.560000,2.517961,0.989372,3.231359,-1.570628,0.713398
1995,2.820000,2.755058,3.334923,3.434681,0.514923,0.679624
1996,2.920000,2.847245,3.303889,3.427628,0.383889,0.580383
1997,3.180000,3.114466,3.815535,3.783805,0.635535,0.669339
1998,3.450000,3.392724,3.945010,4.207805,0.495010,0.815081
1999,3.660000,3.597173,4.228819,4.498057,0.568819,0.900884
2000,3.780000,3.721323,4.296498,4.427867,0.516498,0.706544
2001,3.970000,3.921750,4.428410,4.589179,0.458410,0.667429
2002,4.040000,3.989804,4.469905,4.567130,0.429905,0.577326
2003,4.410000,4.335226,4.785093,5.009791,0.375093,0.674565
2004,4.440000,4.377836,4.847134,5.169339,0.407134,0.791503
2005,4.320000,4.270096,4.800786,5.152828,0.480786,0.882732
2006,4.500000,4.418076,5.002416,5.677999,0.502416,1.259922
2007,4.650000,4.550682,5.253226,6.140945,0.603226,1.590263
2008,4.460000,4.365500,5.234457,5.656179,0.774457,1.290679
2009,4.520000,4.445091,5.155473,5.532294,0.635473,1.087203
2010,4.580000,4.467845,5.297785,5.361800,0.717785,0.893954
2011,4.870000,4.805903,5.709100,5.493579,0.839100,0.687676
2012,4.650000,4.549767,5.584274,5.706562,0.934274,1.156796
2013,4.580000,4.605408,5.450001,5.771595,0.870001,1.166187
2014,4.880000,4.745122,5.712193,6.441702,0.832193,1.696580
2015,5.700000,5.430953,6.418596,7.421928,0.718596,1.990975
2016,5.940000,5.406146,6.019511,7.436215,0.079511,2.030069
2017,5.900000,5.461305,5.855633,7.257392,-0.044367,1.796087
2018,5.638102,5.199214,5.805547,6.887707,0.167445,1.688494
2019,5.456232,5.222552,5.657001,6.701651,0.200769,1.479099
2020,5.431708,4.748407,5.832766,5.979077,0.401058,1.230671
2021,5.431659,5.371884,5.730184,6.760006,0.298525,1.388122
2022,6.341589,,6.146338,,-0.195251,
