"Year","OMN production Eora 199.082 (2023)","OMN production GCB 2023v26"
1970,0.671000,
1971,2.550000,
1972,2.560000,
1973,2.610000,
1974,2.850000,
1975,7.790000,
1976,8.890000,
1977,9.100000,
1978,8.420000,
1979,8.380000,
1980,6.740000,
1981,6.750000,
1982,6.510000,
1983,8.380000,
1984,9.220000,
1985,9.540000,
1986,10.800000,
1987,10.400000,
1988,11.500000,
1989,11,
1990,12.400000,11.222441
1991,12.800000,11.594826
1992,13.200000,11.892658
1993,14.600000,13.224754
1994,16.400000,17.384390
1995,17.100000,18.734758
1996,16.300000,18.108173
1997,16.700000,18.053501
1998,17.800000,18.445326
1999,22,21.985242
2000,23.200000,23.890246
2001,21.600000,22.404480
2002,26.700000,26.841720
2003,33.500000,34.355937
2004,29.100000,29.023123
2005,31.100000,31.596678
2006,41.700000,40.166882
2007,46.100000,45.068391
2008,45.700000,47.181394
2009,44.600000,44.252450
2010,51.700000,51.149068
2011,58.400000,56.983533
2012,63.500000,62.713523
2013,65.800000,65.251403
2014,65.800000,65.896627
2015,68.800000,67.376192
2016,69.700000,65.739242
2017,69.400000,69.230728
2018,76.151640,66.135435
2019,77.965460,59.221741
2020,81.213330,65.428855
2021,84.746160,70.849103
2022,87.765990,
