"Year","LTU production EXIOBASE 3.8.2","LTU production WIOD2016","LTU production OECDv2","LTU production Eora 199.082 (2023)","LTU production FIGARO April 2022","LTU production GCB 2023v26","LTU production Eurostat NAMEA","LTU consumption EXIOBASE 3.8.2","LTU consumption WIOD2016","LTU consumption OECDv2","LTU consumption Eora 199.082 (2023)","LTU consumption FIGARO April 2022","LTU consumption GCB 2023v26","LTU net_trade EXIOBASE 3.8.2","LTU net_trade WIOD2016","LTU net_trade OECDv2","LTU net_trade Eora 199.082 (2023)","LTU net_trade FIGARO April 2022","LTU net_trade GCB 2023v26"
1970,,,,21.400000,,,,,,,19.223940,,,,,,-2.176060,,
1971,,,,22.800000,,,,,,,19.437030,,,,,,-3.362970,,
1972,,,,24.600000,,,,,,,19.631280,,,,,,-4.968720,,
1973,,,,26.200000,,,,,,,20.421540,,,,,,-5.778460,,
1974,,,,27.900000,,,,,,,22.083420,,,,,,-5.816580,,
1975,,,,29.600000,,,,,,,25.196340,,,,,,-4.403660,,
1976,,,,30.600000,,,,,,,27.214160,,,,,,-3.385840,,
1977,,,,31.800000,,,,,,,30.758570,,,,,,-1.041430,,
1978,,,,33.700000,,,,,,,32.390130,,,,,,-1.309870,,
1979,,,,34.100000,,,,,,,33.993040,,,,,,-0.106960,,
1980,,,,35,,,,,,,35.340160,,,,,,0.340160,,
1981,,,,35.400000,,,,,,,36.310090,,,,,,0.910090,,
1982,,,,35.900000,,,,,,,37.008520,,,,,,1.108520,,
1983,,,,36.300000,,,,,,,36.764910,,,,,,0.464910,,
1984,,,,36.200000,,,,,,,35.684280,,,,,,-0.515720,,
1985,,,,37.200000,,,,,,,42.649310,,,,,,5.449310,,
1986,,,,37.500000,,,,,,,19.453180,,,,,,-18.046820,,
1987,,,,38.700000,,,,,,,16.719390,,,,,,-21.980610,,
1988,,,,39.100000,,,,,,,39.379550,,,,,,0.279550,,
1989,,,,38.700000,,,,,,,49.543660,,,,,,10.843660,,
1990,,,,36.100000,,35.737673,,,,,47.049650,,43.221068,,,,10.949650,,7.483395
1991,,,,38.200000,,37.820377,,,,,38.431430,,45.864334,,,,0.231430,,8.043957
1992,,,,21.500000,,21.168441,,,,,18.026180,,52.490674,,,,-3.473820,,31.322233
1993,,,,16.600000,,16.319713,,,,,10.509480,,32.412491,,,,-6.090520,,16.092778
1994,,,,16,,15.767042,,,,,12.997220,,28.693522,,,,-3.002780,,12.926479
1995,18.018218,,14.135135,15.300000,,15.057343,,18.766476,,15.676867,16.214470,,27.992360,0.748258,,1.541733,0.914470,,12.935017
1996,19.132889,,14.687785,16,,15.739963,,18.429885,,15.273992,17.521690,,22.736508,-0.703004,,0.586207,1.521690,,6.996545
1997,20.320936,,14.351835,15.400000,,15.162846,,23.698768,,15.634005,17.561090,,21.687367,3.377832,,1.282170,2.161090,,6.524521
1998,22.265456,,15.096653,16.200000,,15.997053,,26.318732,,17.227035,19.292010,,22.216836,4.053276,,2.130382,3.092010,,6.219783
1999,20.157490,,12.769641,13.700000,,13.449596,,24.568954,,16.493811,17.200960,,19.866266,4.411464,,3.724170,3.500960,,6.416670
2000,18.393461,12.437790,11.103296,12.100000,,11.843035,,23.682526,23.904394,14.397363,15.410490,,20.198145,5.289065,11.466604,3.294067,3.310490,,8.355110
2001,17.896479,14.176397,12.009206,12.800000,,12.593737,,21.647621,25.241565,15.149006,16.322110,,20.115176,3.751142,11.065168,3.139800,3.522110,,7.521439
2002,17.845864,14.037988,12.031188,12.900000,,12.666029,,22.113599,25.910893,14.917413,16.953190,,19.356801,4.267735,11.872905,2.886224,4.053190,,6.690772
2003,17.866399,13.742535,12.065330,12.900000,,12.659431,,22.696750,25.788766,16.970876,18.093420,,22.629385,4.830350,12.046231,4.905546,5.193420,,9.969954
2004,17.917802,14.577728,12.660091,13.500000,,13.254169,,22.304291,24.086584,16.843927,19.023910,,21.587633,4.386489,9.508856,4.183836,5.523910,,8.333464
2005,18.365942,14.915045,13.450997,14.400000,,13.862650,,24.420124,23.269732,17.663403,20.047340,,21.454045,6.054182,8.354687,4.212406,5.647340,,7.591395
2006,18.575565,15.152901,13.516448,14.800000,,14.195783,,25.916243,23.593348,18.967715,21.501970,,23.175593,7.340678,8.440447,5.451267,6.701970,,8.979810
2007,18.754503,16.379999,14.401773,16.100000,,15.475053,,26.899069,25.201842,19.663584,23.773820,,24.391708,8.144566,8.821843,5.261811,7.673820,,8.916655
2008,17.908466,19.274034,14.240198,15.500000,,14.918748,17.873266,27.475681,25.331950,19.908859,24.113790,,22.565085,9.567215,6.057916,5.668662,8.613790,,7.646338
2009,15.279329,15.854153,12.440887,13.300000,,12.830513,14.856271,20.292254,20.195129,16.720556,20.476030,,21.228356,5.012924,4.340976,4.279669,7.176030,,8.397844
2010,16.465905,17.064719,13.318389,14.200000,15.866661,13.803169,15.867376,21.294985,21.152545,18.451552,21.535360,23.529272,20.661591,4.829080,4.087826,5.133163,7.335360,7.662611,6.858422
2011,16.246495,17.937723,13.262070,14.500000,16.284517,13.960951,16.284903,21.533573,21.111310,18.668729,22.302510,23.228666,23.607289,5.287078,3.173587,5.406658,7.802510,6.944149,9.646338
2012,16.412978,18.136031,,14.600000,16.242096,14.055952,16.242540,21.811148,19.990416,,21.817830,22.369016,21.245994,5.398170,1.854385,,7.217830,6.126920,7.190042
2013,16.235102,17.501337,,13.600000,15.272329,13.154249,15.272745,20.540912,19.621309,,21.138240,19.425058,21.094649,4.305809,2.119972,,7.538240,4.152729,7.940400
2014,16.199671,17.832492,,13.300000,15.415688,12.854897,15.417629,20.974973,18.536371,,19.977600,18.129185,21.252532,4.775303,0.703879,,6.677600,2.713497,8.397635
2015,16.390570,,,13.600000,16.040013,13.055458,15.978484,19.961543,,,20.250740,18.832686,20.415678,3.570974,,,6.650740,2.792673,7.360221
2016,16.063496,,,13.600000,16.274574,13.121737,16.275097,18.532849,,,17.799030,18.290275,21.387580,2.469353,,,4.199030,2.015701,8.265843
2017,16.691884,,,13.800000,17.349312,13.286188,17.349631,19.131932,,,17.682850,18.199599,22.251247,2.440048,,,3.882850,0.850287,8.965060
2018,16.980366,,,13.116570,18.628321,13.434746,18.623660,20.449142,,,20.440920,20.772052,22.963421,3.468776,,,7.324350,2.143731,9.528675
2019,16.816352,,,12.719390,19.122357,13.677775,19.123339,18.744778,,,19.633550,19.847787,21.781164,1.928426,,,6.914160,0.725430,8.103389
2020,17.824967,,,12.215980,18.833906,13.538674,20.442128,20.506678,,,20.206080,17.293172,20.047815,2.681711,,,7.990100,-1.540734,6.509142
2021,17.829958,,,11.648240,,13.829675,21.005713,20.990371,,,19.238650,,22.238040,3.160412,,,7.590410,,8.408365
2022,18.388356,,,7.940902,,,,21.444497,,,17.600670,,,3.056141,,,9.659768,,
