"Year","TKM production Eora 199.082 (2023)"
1970,9.250000
1971,10
1972,10.700000
1973,11.400000
1974,12.200000
1975,13
1976,13.600000
1977,14.200000
1978,15
1979,15.300000
1980,15.800000
1981,16.300000
1982,16.600000
1983,17.100000
1984,17.500000
1985,18.300000
1986,18.100000
1987,19.300000
1988,19.900000
1989,19.800000
1990,19.600000
1991,19.600000
1992,15.300000
1993,13.300000
1994,16.400000
1995,17.700000
1996,18
1997,18.500000
1998,21
1999,26.300000
2000,27
2001,26.500000
2002,27.500000
2003,29.800000
2004,29.600000
2005,31.900000
2006,34.100000
2007,37.800000
2008,39.900000
2009,35.800000
2010,41.100000
2011,44.500000
2012,47
2013,48.500000
2014,49.800000
2015,58
2016,56.300000
2017,58.600000
2018,60.390600
2019,67.206770
2020,68.552420
2021,69.917040
2022,73.045690
