"Year","PYF production Eora 199.082"
1990,0.840000
1991,0.840000
1992,0.780000
1993,0.780000
1994,0.460000
1995,0.470000
1996,0.510000
1997,0.500000
1998,0.550000
1999,0.530000
2000,0.550000
2001,0.590000
2002,0.540000
2003,0.630000
2004,0.720000
2005,0.790000
2006,0.780000
2007,0.720000
2008,0.850000
2009,0.820000
2010,0.890000
2011,1.120000
2012,1.600000
2013,0.880000
2014,0.550000
2015,0.550000
2016,0.520000
2017,0.550000
2018,0.563180
2019,0.599440
2020,0.599440
2021,0.599440
2022,
