"Year","NCL production Eora 199.082"
1990,1.630000
1991,1.770000
1992,1.710000
1993,1.660000
1994,1.230000
1995,1.240000
1996,1.400000
1997,1.310000
1998,1.420000
1999,1.510000
2000,1.870000
2001,1.910000
2002,2.120000
2003,2.150000
2004,2.550000
2005,2.460000
2006,2.690000
2007,2.930000
2008,3.500000
2009,3.290000
2010,4.950000
2011,6.200000
2012,6.510000
2013,5.770000
2014,5.320000
2015,5.020000
2016,7.370000
2017,8.400000
2018,15.392704
2019,15.656644
2020,15.656644
2021,15.656644
2022,
