"Year","SVN production EXIOBASE 3.8.2","SVN production WIOD2016","SVN production OECDv2","SVN production Eora 199.082 (2023)","SVN production FIGARO April 2022","SVN production GCB 2023v26","SVN production Eurostat NAMEA"
1970,,,,11.700000,,,
1971,,,,12.100000,,,
1972,,,,11.700000,,,
1973,,,,14.500000,,,
1974,,,,14.400000,,,
1975,,,,14.600000,,,
1976,,,,15.200000,,,
1977,,,,15,,,
1978,,,,16.800000,,,
1979,,,,18.300000,,,
1980,,,,18,,,
1981,,,,17.500000,,,
1982,,,,16.400000,,,
1983,,,,17,,,
1984,,,,17.400000,,,
1985,,,,17.400000,,,
1986,,,,18.300000,,,
1987,,,,17.700000,,,
1988,,,,17.500000,,,
1989,,,,17.400000,,,
1990,,,,16.800000,,15.094546,
1991,,,,15.500000,,13.973374,
1992,,,,16.100000,,13.882582,
1993,,,,16.100000,,14.246224,
1994,,,,16.500000,,14.636105,
1995,14.792490,,14.003180,16.200000,,15.354245,
1996,15.546505,,14.785618,16.900000,,15.999412,
1997,15.936104,,15.166187,17,,16.507022,
1998,15.751068,,14.996182,16.700000,,16.039042,
1999,15.143519,,14.448176,16,,15.412484,
2000,14.643072,15.508388,14.052767,16.100000,,15.053848,
2001,15.518658,16.852658,14.944826,17,,16.302759,
2002,15.707550,17.854872,15.103106,17.100000,,16.564693,
2003,15.671542,18.164339,15.165328,16.900000,,16.271549,
2004,16.133593,17.935576,15.400819,17.300000,,16.704583,
2005,16.249880,17.161823,15.619387,17.600000,,16.932387,
2006,16.538779,17.481044,15.930680,17.800000,,17.178357,
2007,16.322772,17.695684,15.861959,17.900000,,17.342861,
2008,17.307801,18.825234,16.740862,18.800000,,18.278459,16.741850
2009,15.461112,17.269292,15.005817,16.900000,,16.204108,15.424190
2010,15.604181,17.267726,15.376965,17,17.200562,16.459731,15.846402
2011,15.578396,17.328850,15.264915,17,17.091220,16.358786,15.280151
2012,14.884293,16.654031,,16.400000,16.355796,15.759567,14.464524
2013,14.413300,16.055584,,15.800000,15.721572,15.128262,14.146381
2014,12.930922,14.409519,,14.100000,14.212628,13.561306,12.596357
2015,12.988190,,,14.200000,14.573080,13.645485,13.042008
2016,13.582501,,,15,15.545262,14.458364,13.719063
2017,13.615165,,,14.800000,16.074024,14.616678,14.221814
2018,13.739512,,,15.666980,15.992557,14.519854,14.449368
2019,13.177406,,,15.754040,15.650289,14.039442,14.247267
2020,13.845852,,,15.893440,14.911913,12.854907,13.414093
2021,13.742639,,,16.002140,,13.059966,13.205282
2022,14.868386,,,17.669760,,,
