"Year","DNK production EXIOBASE 3.8.2","DNK production WIOD2016","DNK production OECDv2","DNK production Eora 199.082 (2023)","DNK production FIGARO April 2022","DNK production GCB 2023v26","DNK production Eurostat NAMEA","DNK consumption EXIOBASE 3.8.2","DNK consumption WIOD2016","DNK consumption OECDv2","DNK consumption Eora 199.082 (2023)","DNK consumption FIGARO April 2022","DNK consumption GCB 2023v26","DNK net_trade EXIOBASE 3.8.2","DNK net_trade WIOD2016","DNK net_trade OECDv2","DNK net_trade Eora 199.082 (2023)","DNK net_trade FIGARO April 2022","DNK net_trade GCB 2023v26"
1970,,,,68.200000,,,,,,,58.387580,,,,,,-9.812420,,
1971,,,,63,,,,,,,53.786360,,,,,,-9.213640,,
1972,,,,65.900000,,,,,,,55.699520,,,,,,-10.200480,,
1973,,,,65.600000,,,,,,,56.848070,,,,,,-8.751930,,
1974,,,,61.200000,,,,,,,53.074120,,,,,,-8.125880,,
1975,,,,61.800000,,,,,,,56.442980,,,,,,-5.357020,,
1976,,,,66.200000,,,,,,,63.943690,,,,,,-2.256310,,
1977,,,,68.500000,,,,,,,68.944790,,,,,,0.444790,,
1978,,,,67.500000,,,,,,,69.057050,,,,,,1.557050,,
1979,,,,70,,,,,,,73.390020,,,,,,3.390020,,
1980,,,,67.100000,,,,,,,68.366750,,,,,,1.266750,,
1981,,,,57.800000,,,,,,,58.657680,,,,,,0.857680,,
1982,,,,59.900000,,,,,,,59.141300,,,,,,-0.758700,,
1983,,,,56,,,,,,,54.022330,,,,,,-1.977670,,
1984,,,,56.900000,,,,,,,53.256830,,,,,,-3.643170,,
1985,,,,66.700000,,,,,,,65.360820,,,,,,-1.339180,,
1986,,,,65.200000,,,,,,,51.847080,,,,,,-13.352920,,
1987,,,,64.500000,,,,,,,50.667030,,,,,,-13.832970,,
1988,,,,61.500000,,,,,,,60.167930,,,,,,-1.332070,,
1989,,,,54.500000,,,,,,,57.710760,,,,,,3.210760,,
1990,,,,54.900000,,53.476972,,,,,60.481960,,62.027566,,,,5.581960,,8.550594
1991,,,,65.500000,,64.104609,,,,,68.462020,,65.757840,,,,2.962020,,1.653231
1992,,,,59.700000,,58.326550,,,,,60.916760,,69.396033,,,,1.216760,,11.069483
1993,,,,61.800000,,60.573717,,,,,48.372740,,67.058291,,,,-13.427260,,6.484574
1994,,,,65.800000,,64.673274,,,,,60.199590,,68.812161,,,,-5.600410,,4.138887
1995,69.918159,,58.134393,62.700000,,61.653395,75.941653,83.496588,,68.772166,68.355800,,68.152227,13.578429,,10.637774,5.655800,,6.498832
1996,82.199832,,71.283660,76.100000,,74.899650,89.219638,92.336980,,75.817420,78.013030,,73.039168,10.137148,,4.533760,1.913030,,-1.860482
1997,72.543102,,61.710145,66.700000,,65.437822,81.177442,84.297855,,68.572254,69.826550,,67.414855,11.754754,,6.862109,3.126550,,1.977033
1998,69.623268,,57.808712,62.500000,,61.238298,80.935198,85.721162,,69.540444,69.950850,,65.650548,16.097894,,11.731732,7.450850,,4.412250
1999,66.940692,,54.711524,59.900000,,58.652805,77.551160,80.520652,,64.088474,66.656820,,69.436023,13.579960,,9.376950,6.756820,,10.783218
2000,63.257155,76.548354,50.783852,55.700000,,54.306577,76.634786,79.569902,65.271279,61.130385,63.021340,,65.623434,16.312747,-11.277075,10.346533,7.321340,,11.316857
2001,64.340857,77.113876,52.344202,57.400000,,55.896748,77.203124,77.728041,65.757608,63.664148,63.747830,,66.353448,13.387184,-11.356268,11.319945,6.347830,,10.456700
2002,63.858378,78.206929,52.109055,56.900000,,55.554383,78.295031,77.813052,65.723262,65.969853,65.904950,,66.465009,13.954674,-12.483667,13.860799,9.004950,,10.910626
2003,70.698189,87.071711,57.304801,62.100000,,60.645447,87.165517,82.822947,71.312868,67.341777,74.362610,,67.607489,12.124759,-15.758843,10.036975,12.262610,,6.962042
2004,66.868329,82.756322,51.746275,56.500000,,55.100009,82.855262,81.160487,71.732213,69.290716,71.285630,,70.290984,14.292158,-11.024109,17.544442,14.785630,,15.190975
2005,64.449924,87.188960,48.445644,53,,51.534925,87.293300,78.544036,70.443280,63.365112,69.853420,,66.842557,14.094111,-16.745680,14.919468,16.853420,,15.307633
2006,74.838457,104.792105,56.223560,60.900000,,59.500240,104.925631,86.830094,76.528068,68.131089,76.049920,,72.587485,11.991637,-28.264037,11.907529,15.149920,,13.087246
2007,71.726888,101.229266,51.613757,56.100000,,54.709352,101.346211,86.955600,75.341112,67.105053,74.745570,,70.136270,15.228712,-25.888154,15.491296,18.645570,,15.426918
2008,69.794433,95.521979,48.731674,52.700000,,51.256328,95.628834,81.530439,72.075086,64.542603,72.722220,,68.363925,11.736006,-23.446893,15.810929,20.022220,,17.107597
2009,67.922250,88.924212,46.933485,50.200000,,48.851417,89.019347,83.817456,65.057377,58.304366,67.974940,,62.222351,15.895206,-23.866835,11.370881,17.774940,,13.370933
2010,70.173935,87.493393,47.384477,50.700000,87.417254,49.189694,87.465439,77.415181,65.714412,53.617504,67.698910,66.516651,62.349446,7.241246,-21.778981,6.233028,16.998910,-20.900603,13.159752
2011,65.375680,85.286300,42.099099,45.700000,86.414820,44.236863,86.467701,73.991711,63.563704,50.037198,63.464120,63.768738,59.853579,8.616030,-21.722596,7.938099,17.764120,-22.646082,15.616716
2012,58.880319,78.752976,,41.300000,79.656902,39.861259,79.707592,68.307275,58.752317,,60.105740,58.321392,52.841887,9.426956,-20.000659,,18.805740,-21.335510,12.980628
2013,59.923141,76.788918,,43.100000,78.275762,41.763008,78.337516,68.686485,59.337829,,60.955360,61.177345,52.302993,8.763344,-17.451089,,17.855360,-17.098417,10.539985
2014,55.828763,71.497679,,38.900000,71.982076,37.571383,72.059756,65.052654,58.125214,,57.459520,58.554077,50.961340,9.223891,-13.372465,,18.559520,-13.427999,13.389957
2015,54.664779,,,36.500000,72.314344,35.110573,72.361979,65.541823,,,55.713810,56.451692,49.086531,10.877044,,,19.213810,-15.862652,13.975958
2016,57.577093,,,38.400000,75.125392,36.916561,75.177600,68.639986,,,48.784190,58.178040,49.489798,11.062894,,,10.384190,-16.947352,12.573236
2017,54.257143,,,36.300000,75.223513,34.664618,75.280888,66.907484,,,47.500200,57.909012,49.224387,12.650341,,,11.200200,-17.314501,14.559769
2018,54.446131,,,33.044430,76.920312,34.608954,77.757462,69.060421,,,51.009190,58.903893,50.146262,14.614289,,,17.964760,-18.016419,15.537309
2019,50.386384,,,31.878420,69.485444,30.950283,74.482676,64.870763,,,49.205300,54.748161,46.485115,14.484379,,,17.326880,-14.737283,15.534832
2020,48.921439,,,30.107490,66.986388,28.299677,63.930033,63.705802,,,50.585120,49.507293,42.508244,14.784363,,,20.477630,-17.479095,14.208567
2021,49.775831,,,28.259430,,29.608299,58.443735,62.348395,,,48.071030,,46.685882,12.572565,,,19.811600,,17.077583
2022,49.354653,,,28.457420,,,,63.845551,,,48.543770,,,14.490898,,,20.086350,,
