"Year","MMR production Eora 199.082 (2023)"
1970,4.760000
1971,5.270000
1972,5.140000
1973,4.330000
1974,4.910000
1975,4.840000
1976,5.170000
1977,5.460000
1978,5.470000
1979,5.410000
1980,5.840000
1981,6
1982,5.970000
1983,6.150000
1984,7.010000
1985,7.270000
1986,7.310000
1987,5.420000
1988,4.570000
1989,4.940000
1990,4.700000
1991,4.610000
1992,5.320000
1993,5.790000
1994,6.740000
1995,7.440000
1996,7.720000
1997,8.010000
1998,8.600000
1999,9.500000
2000,10.700000
2001,9.070000
2002,9.590000
2003,10.300000
2004,12.700000
2005,11.900000
2006,13.100000
2007,13.100000
2008,10
2009,10.500000
2010,12.800000
2011,14.600000
2012,11.400000
2013,13
2014,21.800000
2015,22.500000
2016,26.200000
2017,26.900000
2018,27.352390
2019,27.630890
2020,30.524770
2021,33.342840
2022,4.680242
