"Year","AUT production EXIOBASE 3.8.2","AUT production WIOD2016","AUT production OECDv2","AUT production Eora 199.082 (2023)","AUT production FIGARO April 2022","AUT production GCB 2023v26","AUT production Eurostat NAMEA","AUT consumption EXIOBASE 3.8.2","AUT consumption WIOD2016","AUT consumption OECDv2","AUT consumption Eora 199.082 (2023)","AUT consumption FIGARO April 2022","AUT consumption GCB 2023v26"
1970,,,,58.400000,,,,,,,58.545980,,
1971,,,,59.900000,,,,,,,59.880410,,
1972,,,,65,,,,,,,64.642280,,
1973,,,,68.900000,,,,,,,68.279820,,
1974,,,,66.700000,,,,,,,66.655110,,
1975,,,,62.800000,,,,,,,64.844120,,
1976,,,,67.400000,,,,,,,71.535960,,
1977,,,,64.900000,,,,,,,73.265870,,
1978,,,,66.200000,,,,,,,74.392520,,
1979,,,,70.900000,,,,,,,81.152070,,
1980,,,,61.200000,,,,,,,74.586660,,
1981,,,,64.500000,,,,,,,73.437900,,
1982,,,,61.600000,,,,,,,69.244060,,
1983,,,,60.300000,,,,,,,67.560910,,
1984,,,,63.600000,,,,,,,68.809360,,
1985,,,,62.300000,,,,,,,73.872940,,
1986,,,,62.200000,,,,,,,61.636280,,
1987,,,,65.800000,,,,,,,65.391220,,
1988,,,,62.200000,,,,,,,75.017330,,
1989,,,,62,,,,,,,80.865660,,
1990,,,,63.800000,,62.167160,,,,,84.356640,,89.404162
1991,,,,67.200000,,65.765656,,,,,89.022560,,91.087054
1992,,,,61.500000,,60.266150,,,,,84.431600,,93.127665
1993,,,,61.900000,,60.692128,,,,,68.447070,,89.089375
1994,,,,62.300000,,61.066643,,,,,77.391380,,88.881636
1995,57.156696,,59.296124,65.400000,,64.044059,,78.505920,,84.656082,91.603040,,93.009607
1996,61.376317,,63.174378,69,,67.388555,,88.622202,,90.047583,94.142120,,101.013791
1997,60.648164,,62.456672,69,,67.285126,,86.633787,,85.072841,93.200890,,95.116154
1998,61.857442,,62.791849,68.600000,,66.920030,,89.560343,,85.254173,92.579980,,98.463458
1999,60.272457,,61.444486,66.900000,,65.671311,,87.394428,,91.015401,90.775620,,96.853273
2000,60.186964,73.010633,61.794405,67.600000,,66.171720,,83.324096,89.237755,94.676177,90.766030,,92.073727
2001,64.098807,77.988035,65.926566,71.600000,,70.171319,,87.053537,94.309138,93.575221,92.876590,,96.591580
2002,64.231416,80.547922,67.482602,73.500000,,71.974937,,85.624528,92.548052,97.439560,93.583350,,95.147766
2003,68.739486,84.929176,72.648908,79.200000,,77.401893,,90.769713,101.608011,98.448495,101.534800,,100.981904
2004,71.271658,82.740280,73.719040,79.100000,,77.699208,,93.546992,100.612471,98.389830,104.333400,,104.716300
2005,71.864947,84.294121,74.653208,80.800000,,79.097399,,95.424900,100.825328,98.324452,105.504000,,106.772298
2006,69.899323,80.342478,72.443444,78.600000,,76.817414,,94.273344,99.402651,93.282947,106.059700,,110.066462
2007,68.242203,79.162582,70.177556,75.800000,,74.117796,,92.455149,96.530678,94.206098,105.487500,,105.580706
2008,68.480403,71.406412,70.881482,74.900000,,73.495466,71.337341,91.304783,94.529869,95.500782,105.154600,,103.708097
2009,62.663106,65.430758,63.959750,68.600000,,67.315330,65.328776,82.623214,87.934459,87.075608,96.894310,,95.295485
2010,68.556533,70.131913,69.404480,73.200000,69.243473,72.017323,69.559997,89.200362,89.397091,93.843510,101.422300,91.393298,101.209236
2011,66.087600,68.446177,67.514288,71.200000,66.924261,69.909258,67.130642,88.441895,91.972397,97.441326,100.700900,91.928722,103.159368
2012,64.438112,62.078656,,68.800000,63.364350,67.282920,63.516169,85.968881,84.873096,,98.383050,86.893077,99.573184
2013,64.841094,61.555341,,69.200000,61.981334,67.776042,62.017183,86.670694,83.712352,,97.889660,87.992005,94.908770
2014,61.564773,57.324874,,65.500000,58.525076,64.175900,58.581184,83.298423,80.354673,,93.660730,85.000232,95.308828
2015,62.897953,,,67.800000,59.827798,66.365641,59.877209,83.141118,,,95.019920,82.815200,89.089189
2016,62.793712,,,68.300000,59.613889,67.226575,59.679439,84.960744,,,22.334340,82.245126,92.343287
2017,65.300154,,,71,62.822799,69.608667,62.889861,85.882044,,,24.436790,83.895574,91.876857
2018,64.240359,,,72.843600,60.317869,66.571892,60.364043,86.387681,,,97.331790,88.599360,91.230847
2019,65.869069,,,73.291570,63.791175,67.956158,63.850688,85.474805,,,95.304430,88.713558,89.151061
2020,64.039795,,,73.893620,56.230222,62.121251,57.137036,84.644925,,,101.224700,76.056028,80.822791
2021,63.797579,,,74.277720,,66.018632,61.058133,84.397597,,,98.161340,,88.172121
2022,64.493806,,,68.948700,,,,84.886730,,,95.684870,,
