"Year","PRK production Eora 199.082 (2023)"
1970,121
1971,167
1972,144
1973,155
1974,160
1975,170
1976,172
1977,178
1978,163
1979,166
1980,170
1981,170
1982,174
1983,185
1984,198
1985,212
1986,228
1987,254
1988,289
1989,306
1990,183
1991,178
1992,156
1993,146
1994,135
1995,120
1996,99.800000
1997,88.100000
1998,72
1999,71.400000
2000,69.200000
2001,74.300000
2002,74.200000
2003,75.800000
2004,77.400000
2005,80.600000
2006,82
2007,68.900000
2008,75.600000
2009,74
2010,69.700000
2011,50.800000
2012,51.800000
2013,38.400000
2014,42.900000
2015,44.500000
2016,49.800000
2017,51.100000
2018,51.100000
2019,51.100000
2020,51.100000
2021,51.100000
2022,51.100000
