"Year","JOR production Eora 199.082 (2023)","JOR production GCB 2023v26","JOR consumption Eora 199.082 (2023)","JOR consumption GCB 2023v26","JOR net_trade Eora 199.082 (2023)","JOR net_trade GCB 2023v26"
1970,1.590000,,0.942179,,-0.647821,
1971,1.700000,,0.786394,,-0.913606,
1972,1.960000,,0.665255,,-1.294745,
1973,2.250000,,0.922808,,-1.327192,
1974,2.280000,,1.285869,,-0.994131,
1975,2.540000,,2.343562,,-0.196438,
1976,3,,3.706767,,0.706767,
1977,3.210000,,5.060059,,1.850059,
1978,3.690000,,5.961273,,2.271273,
1979,3.850000,,7.299877,,3.449877,
1980,4.780000,,8.545994,,3.765994,
1981,5.910000,,10.350490,,4.440490,
1982,6.350000,,10.242900,,3.892900,
1983,7.420000,,9.863204,,2.443204,
1984,8.380000,,10.144930,,1.764930,
1985,8.560000,,12.381360,,3.821360,
1986,9.290000,,8.160868,,-1.129132,
1987,9.650000,,8.151784,,-1.498216,
1988,9.320000,,10.581330,,1.261330,
1989,9.230000,,11.220330,,1.990330,
1990,10.400000,10.476423,12.110510,16.188154,1.710510,5.711731
1991,9.820000,9.903911,11.479810,14.492607,1.659810,4.588696
1992,12.200000,11.984199,13.402440,17.093807,1.202440,5.109608
1993,12,11.774286,9.489039,16.422633,-2.510961,4.648347
1994,13.500000,13.249567,12.740920,17.970967,-0.759080,4.721400
1995,13.600000,13.208063,15.265370,18.454889,1.665370,5.246826
1996,14.300000,13.825418,16.217020,15.019648,1.917020,1.194230
1997,14.800000,14.074057,16.154420,17.605360,1.354420,3.531303
1998,15,14.253067,16.956260,18.108157,1.956260,3.855089
1999,15.200000,14.266665,17.096440,17.285100,1.896440,3.018435
2000,16.400000,15.200204,18.856210,17.699961,2.456210,2.499757
2001,17.100000,15.609517,19.578390,19.651037,2.478390,4.041520
2002,18.200000,16.420437,20.449240,20.545686,2.249240,4.125248
2003,18.900000,16.982176,21.383830,19.944853,2.483830,2.962677
2004,20.900000,18.670695,23.870880,21.981380,2.970880,3.310685
2005,23,20.436793,26.355000,24.479629,3.355000,4.042836
2006,23.200000,20.526390,27.136960,24.394629,3.936960,3.868239
2007,24.300000,21.436498,28.418490,25.829371,4.118490,4.392873
2008,23.500000,20.717997,28.108540,28.600130,4.608540,7.882133
2009,24.100000,21.336692,28.404840,30.254442,4.304840,8.917750
2010,23.300000,20.615325,28.143290,27.211666,4.843290,6.596341
2011,23.800000,21.243760,29.208070,29.989664,5.408070,8.745904
2012,26.800000,23.814579,31.971420,34.310685,5.171420,10.496106
2013,26.800000,23.818202,31.625150,35.531492,4.825150,11.713290
2014,29,25.898834,32.439320,35.728482,3.439320,9.829648
2015,22.800000,25.549899,27.446950,35.484929,4.646950,9.935030
2016,22.500000,24.698330,29.563970,31.961636,7.063970,7.263307
2017,22.400000,25.813520,29.994140,31.814613,7.594140,6.001093
2018,25.020490,25.141975,32.255730,31.541981,7.235240,6.400006
2019,25.656200,24.728613,31.097990,30.600989,5.441790,5.872376
2020,26.460170,21.128763,31.920720,27.831783,5.460550,6.703019
2021,27.438860,22.638558,32.317050,30.039473,4.878190,7.400915
2022,28.064460,,33.752400,,5.687940,
