"Year","TJK production Eora 199.082 (2023)","TJK production GCB 2023v26","TJK consumption Eora 199.082 (2023)","TJK consumption GCB 2023v26"
1970,9.020000,,6.776974,
1971,9.690000,,7.081287,
1972,10.300000,,7.262978,
1973,11,,7.809112,
1974,11.600000,,8.491812,
1975,12.400000,,9.781797,
1976,12.900000,,10.250980,
1977,13.500000,,11.690930,
1978,14.100000,,12.057570,
1979,14.400000,,12.334380,
1980,14.800000,,12.514210,
1981,15.100000,,12.802660,
1982,15.400000,,13.163830,
1983,15.900000,,13.150790,
1984,16.100000,,13.153520,
1985,17,,15.351450,
1986,16.900000,,10.771620,
1987,17.900000,,10.876400,
1988,18.400000,,14.714730,
1989,18.300000,,16.391570,
1990,17.800000,11.965114,15.821910,5.173981
1991,17.400000,9.658038,16.159080,4.461927
1992,14.300000,7.308103,11.789910,5.004521
1993,12,5.170596,5.364525,3.227507
1994,6.860000,2.355098,3.781433,1.631189
1995,4.840000,2.445277,5.022590,0.811948
1996,3.370000,2.823798,3.097010,4.143408
1997,3.500000,2.150084,3.250247,3.100711
1998,2.660000,2.496671,2.637561,3.798701
1999,2.750000,2.517199,2.726740,3.365849
2000,2.680000,2.233862,2.307628,5.436924
2001,2.900000,2.287606,2.569248,5.405368
2002,2.750000,1.877243,2.484456,6.861834
2003,2.920000,2.070857,2.727453,5.426798
2004,3.450000,2.560492,3.323735,5.429925
2005,2.800000,2.439487,2.896433,6.419688
2006,3.620000,2.655168,3.965802,7.274792
2007,2.680000,3.227096,3.425239,5.284365
2008,2.670000,2.896020,3.625046,6.450115
2009,2.140000,2.443974,3.110759,5.844592
2010,2.040000,2.536415,3.421996,7.806865
2011,1.810000,2.340736,4.033730,7.624058
2012,2.100000,2.933412,4.490900,6.625309
2013,2.570000,2.906893,5.086079,11.865537
2014,3.540000,4.600122,5.751975,19.856591
2015,3.100000,5.302282,5.554694,8.926477
2016,3.110000,5.692501,4.090926,13.288191
2017,3.070000,6.858048,3.640312,14.644318
2018,3.976456,8.060483,6.064950,12.274899
2019,4.037132,8.856778,6.286948,12.736162
2020,4.193840,9.298944,6.457482,12.625242
2021,4.274408,9.971469,6.460244,13.376483
2022,6.692428,,8.385084,
