"Year","SEN production Eora 199.082 (2023)","SEN production GCB 2023v26"
1970,1.340000,
1971,1.390000,
1972,1.490000,
1973,1.590000,
1974,1.890000,
1975,2.620000,
1976,1.810000,
1977,2.290000,
1978,2.680000,
1979,2.950000,
1980,3.400000,
1981,3.340000,
1982,3.090000,
1983,2.670000,
1984,3.350000,
1985,2.710000,
1986,2.700000,
1987,2.480000,
1988,2.780000,
1989,3.730000,
1990,3.210000,3.138804
1991,3.450000,3.379206
1992,3.500000,3.422666
1993,3.620000,3.538709
1994,3.910000,3.836950
1995,3.500000,3.430121
1996,3.740000,3.664147
1997,3.270000,3.182368
1998,3.430000,3.333565
1999,3.710000,3.603593
2000,3.920000,3.902052
2001,4.270000,4.258100
2002,4.480000,4.436925
2003,4.900000,4.927512
2004,5.080000,5.238223
2005,5.630000,5.538919
2006,4.510000,4.422390
2007,4.920000,4.862531
2008,4.840000,4.740295
2009,4.300000,5.257668
2010,7.380000,6.862391
2011,7.910000,7.818837
2012,7.460000,7.362129
2013,7.950000,7.852669
2014,8.340000,8.724360
2015,8.400000,9.845416
2016,8.870000,10.015698
2017,9.240000,10.760131
2018,9.143825,11.330392
2019,9.361372,12.713021
2020,9.470961,10.820952
2021,9.522995,11.523095
2022,11.527030,
