"Year","HRV production EXIOBASE 3.8.2","HRV production WIOD2016","HRV production OECDv2","HRV production Eora 199.082 (2023)","HRV production FIGARO April 2022","HRV production GCB 2023v26","HRV production Eurostat NAMEA","HRV consumption EXIOBASE 3.8.2","HRV consumption WIOD2016","HRV consumption OECDv2","HRV consumption Eora 199.082 (2023)","HRV consumption FIGARO April 2022","HRV consumption GCB 2023v26","HRV net_trade EXIOBASE 3.8.2","HRV net_trade WIOD2016","HRV net_trade OECDv2","HRV net_trade Eora 199.082 (2023)","HRV net_trade FIGARO April 2022","HRV net_trade GCB 2023v26"
1970,,,,13.100000,,,,,,,12.381740,,,,,,-0.718260,,
1971,,,,13.300000,,,,,,,12.186120,,,,,,-1.113880,,
1972,,,,12.900000,,,,,,,11.267030,,,,,,-1.632970,,
1973,,,,17.300000,,,,,,,15.206460,,,,,,-2.093540,,
1974,,,,16.700000,,,,,,,14.594110,,,,,,-2.105890,,
1975,,,,17.100000,,,,,,,15.472490,,,,,,-1.627510,,
1976,,,,18.100000,,,,,,,16.806840,,,,,,-1.293160,,
1977,,,,17.900000,,,,,,,17.423830,,,,,,-0.476170,,
1978,,,,21.100000,,,,,,,20.428670,,,,,,-0.671330,,
1979,,,,23.800000,,,,,,,23.262620,,,,,,-0.537380,,
1980,,,,22.500000,,,,,,,22.055880,,,,,,-0.444120,,
1981,,,,22,,,,,,,21.949930,,,,,,-0.050070,,
1982,,,,21.300000,,,,,,,21.426930,,,,,,0.126930,,
1983,,,,22.600000,,,,,,,22.453190,,,,,,-0.146810,,
1984,,,,23.200000,,,,,,,23.196610,,,,,,-0.003390,,
1985,,,,23.200000,,,,,,,25.553140,,,,,,2.353140,,
1986,,,,25.200000,,,,,,,22.700320,,,,,,-2.499680,,
1987,,,,25.700000,,,,,,,22.938930,,,,,,-2.761070,,
1988,,,,26.700000,,,,,,,27.570870,,,,,,0.870870,,
1989,,,,20.800000,,,,,,,25.486580,,,,,,4.686580,,
1990,,,,23.900000,,22.974684,,,,,28.275790,,21.000132,,,,4.375790,,-1.974552
1991,,,,17.800000,,16.985249,,,,,22.241420,,15.649152,,,,4.441420,,-1.336097
1992,,,,16.900000,,16.369222,,,,,16.917690,,18.193211,,,,0.017690,,1.823989
1993,,,,17.400000,,16.806462,,,,,14.018490,,18.203659,,,,-3.381510,,1.397198
1994,,,,16.700000,,16.049805,,,,,16.184150,,17.839065,,,,-0.515850,,1.789260
1995,16.985212,,15.784430,17.300000,,16.815705,,18.838683,,17.466343,21.171710,,19.697249,1.853471,,1.681913,3.871710,,2.881544
1996,16.938057,,15.545890,18,,17.343677,,18.329571,,17.493402,21.715620,,19.793148,1.391515,,1.947512,3.715620,,2.449471
1997,18.633831,,17.236359,19,,18.556528,,23.032983,,20.669339,23.117020,,20.949011,4.399152,,3.432980,4.117020,,2.392483
1998,20.040643,,18.335701,19.700000,,19.011169,,22.147639,,21.302725,22.976880,,20.475162,2.106996,,2.967023,3.276880,,1.463993
1999,20.011843,,18.260198,20.500000,,20.022371,,22.779473,,22.335122,23.236290,,21.981656,2.767631,,4.074923,2.736290,,1.959285
2000,19.424336,20.439641,17.623667,20.100000,,19.660010,,22.483800,21.490779,19.661538,22.192270,,21.653707,3.059464,1.051138,2.037872,2.092270,,1.993697
2001,20.643930,21.525633,18.497458,21.200000,,20.782297,,23.958268,22.347210,23.308312,23.681420,,24.492859,3.314338,0.821577,4.810854,2.481420,,3.710562
2002,21.742593,22.480385,19.484628,22.500000,,21.887299,,26.357748,25.256559,23.238902,24.792180,,26.205551,4.615155,2.776173,3.754274,2.292180,,4.318252
2003,23.068858,23.843460,20.821273,23.900000,,23.213128,,30.776091,27.883802,27.383141,27.595150,,25.316392,7.707233,4.040342,6.561868,3.695150,,2.103264
2004,22.807490,23.364674,20.286700,23.800000,,22.884860,,29.442845,26.946093,24.400887,28.082370,,25.913224,6.635355,3.581418,4.114187,4.282370,,3.028364
2005,23.050455,23.593645,20.642096,24.400000,,23.340033,,32.305309,27.291860,27.690369,28.630650,,25.890154,9.254854,3.698215,7.048273,4.230650,,2.550121
2006,23.146850,23.702056,20.601542,24.800000,,23.546764,,32.135002,28.130351,27.415728,29.790050,,28.320226,8.988152,4.428296,6.814185,4.990050,,4.773462
2007,24.305282,25.113758,21.903367,26.200000,,24.859721,,30.973020,29.542491,28.555323,31.623230,,29.698771,6.667739,4.428733,6.651955,5.423230,,4.839050
2008,23.219399,23.785297,20.747828,24.900000,,23.594392,24.192714,30.141842,31.209472,28.405553,31.147670,,33.719122,6.922444,7.424175,7.657725,6.247670,,10.124730
2009,21.581116,21.995509,19.550868,22.500000,,21.805310,22.349836,26.224088,27.562388,26.174159,27.849620,,25.644289,4.642972,5.566879,6.623291,5.349620,,3.838979
2010,20.169944,21.245080,18.894623,21.800000,21.171904,21.018168,21.511885,22.794886,25.071454,22.931851,26.776410,28.432189,24.139963,2.624941,3.826374,4.037228,4.976410,7.260285,3.121795
2011,19.890495,20.801673,18.685483,21.300000,20.872184,20.650176,21.093928,21.962543,23.948551,22.092571,26.215570,28.326298,23.237494,2.072048,3.146878,3.407088,4.915570,7.454114,2.587318
2012,18.131867,19.242973,,19.700000,19.247639,19.081248,19.460878,19.823742,22.003025,,24.395720,26.060834,23.499774,1.691876,2.760052,,4.695720,6.813195,4.418526
2013,17.754888,18.588178,,19.400000,18.623881,18.432191,18.776942,18.933409,21.358856,,24.072040,26.031237,23.536087,1.178521,2.770678,,4.672040,7.407356,5.103896
2014,17.019461,17.850671,,18.700000,17.861564,17.681566,18.021024,17.063247,20.152163,,23.152230,23.865053,19.129472,0.043787,2.301492,,4.452230,6.003489,1.447906
2015,17.393720,,,18.900000,17.974451,17.824704,18.207932,16.977697,,,23.412030,24.821373,21.485356,-0.416023,,,4.512030,6.846922,3.660652
2016,17.522831,,,19.200000,18.244823,18.109014,18.502665,16.972401,,,16.635390,25.639706,22.587602,-0.550430,,,-2.564610,7.394883,4.478588
2017,18.269381,,,19.800000,18.887318,18.743995,19.159124,18.162600,,,17.048650,27.750603,21.907200,-0.106781,,,-2.751350,8.863285,3.163205
2018,17.841759,,,20.452920,17.930075,17.724152,18.006737,19.449398,,,20.026260,27.584031,24.245585,1.607639,,,-0.426660,9.653956,6.521434
2019,17.918319,,,21.029950,18.026716,17.857446,18.118267,19.957125,,,19.790360,27.919911,23.486226,2.038806,,,-1.239590,9.893195,5.628781
2020,19.076117,,,21.489090,17.661644,16.870528,17.041063,21.443508,,,21.174040,24.497560,22.555688,2.367391,,,-0.315050,6.835916,5.685160
2021,18.496157,,,21.945890,,17.410627,16.561138,18.138351,,,20.695070,,22.971150,-0.357806,,,-1.250820,,5.560524
2022,19.201173,,,22.305110,,,,18.717639,,,20.433380,,,-0.483534,,,-1.871730,,
