"Year","KEN production Eora 199.082 (2023)","KEN production GCB 2023v26","KEN consumption Eora 199.082 (2023)","KEN consumption GCB 2023v26","KEN net_trade Eora 199.082 (2023)","KEN net_trade GCB 2023v26"
1970,3.120000,,2.389561,,-0.730439,
1971,3.670000,,2.385532,,-1.284468,
1972,3.860000,,1.813533,,-2.046467,
1973,3.880000,,1.785551,,-2.094449,
1974,4.860000,,3.346542,,-1.513458,
1975,4.890000,,4.270063,,-0.619937,
1976,4.570000,,4.739751,,0.169751,
1977,5.020000,,6.747546,,1.727546,
1978,5.300000,,7.465381,,2.165381,
1979,4.970000,,7.981088,,3.011088,
1980,6.100000,,9.705890,,3.605890,
1981,6.470000,,9.275716,,2.805716,
1982,4.720000,,6.454055,,1.734055,
1983,4.700000,,5.191418,,0.491418,
1984,4.400000,,4.631260,,0.231260,
1985,3.850000,,6.530772,,2.680772,
1986,4.280000,,1.276213,,-3.003787,
1987,5.200000,,1.605476,,-3.594524,
1988,4.840000,,5.183264,,0.343264,
1989,5.190000,,7.903078,,2.713078,
1990,5.780000,5.819044,7.839015,8.178606,2.059015,2.359561
1991,4.880000,4.834337,6.818033,7.323850,1.938033,2.489513
1992,5.520000,5.536456,6.021450,8.437149,0.501450,2.900694
1993,6.250000,6.341798,1.237534,8.745583,-5.012466,2.403785
1994,6.410000,6.553312,4.432924,9.085229,-1.977076,2.531917
1995,7.330000,7.548754,9.548905,10.339715,2.218905,2.790960
1996,8.660000,9.292462,10.268150,9.479740,1.608150,0.187278
1997,7.360000,8.210108,9.516511,9.377910,2.156511,1.167802
1998,8.540000,9.959645,10.751770,13.008915,2.211770,3.049270
1999,8.380000,10.070618,10.443290,11.210444,2.063290,1.139826
2000,8.280000,10.408840,10.734150,11.954451,2.454150,1.545611
2001,8.080000,9.277873,10.845940,12.113220,2.765940,2.835346
2002,7.400000,7.890697,10.018550,10.107714,2.618550,2.217017
2003,6.720000,6.697443,9.959021,9.416824,3.239021,2.719381
2004,8.060000,7.589762,11.254530,10.044446,3.194530,2.454685
2005,9.730000,8.554943,13.072090,11.625345,3.342090,3.070402
2006,11,9.565541,14.825050,13.242162,3.825050,3.676621
2007,11.400000,9.823632,15.659030,14.239242,4.259030,4.415610
2008,12,10.232778,16.791480,15.121039,4.791480,4.888262
2009,14.500000,12.342668,19.007160,17.188993,4.507160,4.846325
2010,14.400000,12.163160,19.091950,17.081167,4.691950,4.918007
2011,15.900000,13.447592,20.868200,19.477531,4.968200,6.029939
2012,14.800000,12.505727,21.599200,20.471551,6.799200,7.965824
2013,15.800000,13.457976,23.754050,23.440429,7.954050,9.982454
2014,17.200000,14.531541,25.148900,27.771891,7.948900,13.240350
2015,18.100000,16.998498,25.759860,27.666239,7.659860,10.667740
2016,18.100000,18.134511,23.875130,27.559481,5.775130,9.424971
2017,19,17.709413,26.481740,26.366625,7.481740,8.657212
2018,20.506580,18.837988,29.021760,27.741979,8.515180,8.903991
2019,21.481710,19.799187,28.197120,28.603332,6.715410,8.804146
2020,22.738580,21.982360,29.237770,30.077076,6.499190,8.094716
2021,23.978810,24.416209,29.842070,33.344050,5.863260,8.927841
2022,29.038360,,33.768730,,4.730370,
