"Year","HRV production EXIOBASE 3.8.2","HRV production WIOD2016","HRV production OECDv2","HRV production Eora 199.082 (2023)","HRV production FIGARO April 2022","HRV production GCB 2023v26","HRV production Eurostat NAMEA"
1970,,,,13.100000,,,
1971,,,,13.300000,,,
1972,,,,12.900000,,,
1973,,,,17.300000,,,
1974,,,,16.700000,,,
1975,,,,17.100000,,,
1976,,,,18.100000,,,
1977,,,,17.900000,,,
1978,,,,21.100000,,,
1979,,,,23.800000,,,
1980,,,,22.500000,,,
1981,,,,22,,,
1982,,,,21.300000,,,
1983,,,,22.600000,,,
1984,,,,23.200000,,,
1985,,,,23.200000,,,
1986,,,,25.200000,,,
1987,,,,25.700000,,,
1988,,,,26.700000,,,
1989,,,,20.800000,,,
1990,,,,23.900000,,22.974684,
1991,,,,17.800000,,16.985249,
1992,,,,16.900000,,16.369222,
1993,,,,17.400000,,16.806462,
1994,,,,16.700000,,16.049805,
1995,16.985212,,15.784430,17.300000,,16.815705,
1996,16.938057,,15.545890,18,,17.343677,
1997,18.633831,,17.236359,19,,18.556528,
1998,20.040643,,18.335701,19.700000,,19.011169,
1999,20.011843,,18.260198,20.500000,,20.022371,
2000,19.424336,20.439641,17.623667,20.100000,,19.660010,
2001,20.643930,21.525633,18.497458,21.200000,,20.782297,
2002,21.742593,22.480385,19.484628,22.500000,,21.887299,
2003,23.068858,23.843460,20.821273,23.900000,,23.213128,
2004,22.807490,23.364674,20.286700,23.800000,,22.884860,
2005,23.050455,23.593645,20.642096,24.400000,,23.340033,
2006,23.146850,23.702056,20.601542,24.800000,,23.546764,
2007,24.305282,25.113758,21.903367,26.200000,,24.859721,
2008,23.219399,23.785297,20.747828,24.900000,,23.594392,24.192714
2009,21.581116,21.995509,19.550868,22.500000,,21.805310,22.349836
2010,20.169944,21.245080,18.894623,21.800000,21.171904,21.018168,21.511885
2011,19.890495,20.801673,18.685483,21.300000,20.872184,20.650176,21.093928
2012,18.131867,19.242973,,19.700000,19.247639,19.081248,19.460878
2013,17.754888,18.588178,,19.400000,18.623881,18.432191,18.776942
2014,17.019461,17.850671,,18.700000,17.861564,17.681566,18.021024
2015,17.393720,,,18.900000,17.974451,17.824704,18.207932
2016,17.522831,,,19.200000,18.244823,18.109014,18.502665
2017,18.269381,,,19.800000,18.887318,18.743995,19.159124
2018,17.841759,,,20.452920,17.930075,17.724152,18.006737
2019,17.918319,,,21.029950,18.026716,17.857446,18.118267
2020,19.076117,,,21.489090,17.661644,16.870528,17.041063
2021,18.496157,,,21.945890,,17.410627,16.561138
2022,19.201173,,,22.305110,,,
