"Year","LBY production Eora 199.082 (2023)"
1970,32.600000
1971,21.900000
1972,15.500000
1973,14.900000
1974,9.650000
1975,11.900000
1976,18.200000
1977,20.500000
1978,21.700000
1979,26.600000
1980,27.600000
1981,29.400000
1982,31.600000
1983,31.600000
1984,29.900000
1985,32.800000
1986,35.600000
1987,34
1988,37.600000
1989,38.600000
1990,38
1991,44.100000
1992,38.600000
1993,40.300000
1994,45.700000
1995,48
1996,46.100000
1997,47.100000
1998,47.600000
1999,46.800000
2000,49.300000
2001,50.200000
2002,50
2003,51.300000
2004,52.600000
2005,54.400000
2006,55.300000
2007,52
2008,57.800000
2009,60
2010,64
2011,41.400000
2012,54.700000
2013,58.600000
2014,59.300000
2015,53.400000
2016,51.900000
2017,54.700000
2018,53.679600
2019,53.410120
2020,53.446240
2021,53.482760
2022,52.520330
