"Year","MWI production Eora 199.082 (2023)","MWI production GCB 2023v26","MWI consumption Eora 199.082 (2023)","MWI consumption GCB 2023v26","MWI net_trade Eora 199.082 (2023)","MWI net_trade GCB 2023v26"
1970,0.469000,,0.012275,,-0.456725,
1971,0.518000,,-0.278207,,-0.796207,
1972,0.558000,,-0.701967,,-1.259967,
1973,0.592000,,-0.820700,,-1.412700,
1974,0.566000,,-0.750391,,-1.316391,
1975,0.597000,,-0.188464,,-0.785464,
1976,0.602000,,0.217963,,-0.384037,
1977,0.655000,,1.074748,,0.419748,
1978,0.686000,,1.220052,,0.534052,
1979,0.660000,,1.814983,,1.154983,
1980,0.732000,,1.936198,,1.204198,
1981,0.631000,,1.542124,,0.911124,
1982,0.617000,,1.141733,,0.524733,
1983,0.598000,,0.425922,,-0.172078,
1984,0.580000,,0.114892,,-0.465108,
1985,0.582000,,1.669135,,1.087135,
1986,0.578000,,-1.502523,,-2.080523,
1987,0.573000,,-1.669644,,-2.242644,
1988,0.570000,,0.347317,,-0.222683,
1989,0.592000,,1.614726,,1.022726,
1990,0.772000,0.740333,1.642324,1.535422,0.870324,0.795089
1991,0.830000,0.787610,1.872798,1.546413,1.042798,0.758803
1992,0.830000,0.787089,1.113299,1.527035,0.283299,0.739946
1993,0.923000,0.881995,-2.613420,1.691134,-3.536420,0.809139
1994,0.933000,0.901750,-0.554780,1.718419,-1.487780,0.816669
1995,0.945000,0.906502,1.690022,1.777595,0.745022,0.871094
1996,0.946000,0.919530,1.590100,2.031197,0.644100,1.111667
1997,0.992000,0.914855,1.985777,1.990717,0.993777,1.075862
1998,0.969000,0.901754,1.725797,1.938940,0.756797,1.037186
1999,0.967000,0.893264,1.818729,1.892063,0.851729,0.998799
2000,0.899000,0.857646,1.617048,0.812680,0.718048,-0.044966
2001,0.884000,0.773253,1.677687,0.722291,0.793687,-0.050962
2002,0.916000,0.856235,1.859653,0.836147,0.943653,-0.020089
2003,0.982000,0.918499,1.950898,0.984788,0.968898,0.066289
2004,1,0.901678,2.019140,0.837883,1.019140,-0.063796
2005,0.952000,0.848983,2.066069,0.786253,1.114069,-0.062730
2006,0.989000,0.847983,2.123994,0.875641,1.134994,0.027658
2007,0.922000,0.919470,2.062127,0.844800,1.140127,-0.074670
2008,1.090000,0.998373,2.417966,0.931094,1.327966,-0.067280
2009,0.985000,1.013307,2.543713,0.905002,1.558713,-0.108304
2010,1.200000,0.968498,2.702258,0.905532,1.502258,-0.062966
2011,1.210000,1.056154,2.525663,0.982637,1.315663,-0.073518
2012,1.120000,1.066113,2.404134,1.071041,1.284134,0.004928
2013,1.260000,1.145877,2.652970,1.025232,1.392970,-0.120646
2014,1.300000,1.040759,2.682008,0.949186,1.382008,-0.091573
2015,1.350000,1.082885,2.685306,0.989670,1.335306,-0.093215
2016,1.360000,1.205613,2.389894,1.237274,1.029894,0.031661
2017,1.430000,1.229673,2.282287,1.139519,0.852287,-0.090154
2018,1.479017,1.723025,3.144042,2.650412,1.665025,0.927387
2019,1.542624,1.636507,3.148247,2.596827,1.605623,0.960320
2020,1.614467,1.870757,3.215667,2.890007,1.601200,1.019250
2021,1.693913,2.074797,3.260559,3.229500,1.566646,1.154703
2022,1.703328,,3.185954,,1.482626,
