"Year","URY production Eora 199.082 (2023)","URY production GCB 2023v26"
1970,6.070000,
1971,6.130000,
1972,6.410000,
1973,6.090000,
1974,6.010000,
1975,6.320000,
1976,6.250000,
1977,5.970000,
1978,6.050000,
1979,6.610000,
1980,6.170000,
1981,5.690000,
1982,5.160000,
1983,4.040000,
1984,3.660000,
1985,3.280000,
1986,3.380000,
1987,3.780000,
1988,5.080000,
1989,4.820000,
1990,4.250000,3.967289
1991,4.830000,4.527678
1992,5.470000,5.142888
1993,4.740000,4.439220
1994,4.340000,4.030404
1995,4.860000,4.557192
1996,5.780000,5.405165
1997,5.890000,5.513665
1998,6.050000,5.638758
1999,7.070000,6.682218
2000,5.520000,5.268017
2001,5.030000,5.030443
2002,4.470000,4.557757
2003,4.420000,4.526888
2004,5.600000,5.564822
2005,5.740000,5.726669
2006,6.570000,6.597095
2007,5.910000,5.947501
2008,8.030000,8.201629
2009,7.990000,7.946771
2010,6.370000,6.297960
2011,7.740000,7.652644
2012,8.870000,8.591791
2013,7.650000,7.492373
2014,6.780000,6.684323
2015,8.450000,6.742026
2016,8.850000,6.521229
2017,8.940000,6.162573
2018,8.377812,6.570970
2019,8.233978,6.489942
2020,8.337486,6.477168
2021,8.534421,8.084270
2022,7.895515,
