"Year","AFG production Eora 199.082 (2023)","AFG consumption Eora 199.082 (2023)"
1970,1.840000,1.328722
1971,2.070000,1.195068
1972,1.720000,0.359859
1973,1.810000,0.242642
1974,2.100000,0.560894
1975,2.330000,1.285381
1976,2.240000,1.499537
1977,2.630000,2.636065
1978,2.390000,2.323345
1979,2.460000,2.710420
1980,2,2.275215
1981,2.210000,2.456392
1982,2.340000,2.355146
1983,2.760000,2.266623
1984,3.080000,2.274183
1985,3.760000,4.146707
1986,3.410000,0.389442
1987,3.390000,0.136281
1988,3.120000,2.264526
1989,3.030000,3.509643
1990,2.850000,3.290058
1991,2.640000,3.163131
1992,1.600000,1.511757
1993,1.530000,-2.182997
1994,1.410000,-0.344112
1995,1.360000,2.082721
1996,1.290000,1.865386
1997,1.210000,2.046750
1998,1.150000,1.855584
1999,0.935000,1.709618
2000,0.934000,1.920427
2001,0.996000,2.043758
2002,1.250000,2.290713
2003,1.380000,2.864762
2004,1.130000,2.701402
2005,1.510000,3.182172
2006,1.820000,3.691511
2007,2.430000,4.416697
2008,4.360000,5.721280
2009,6.930000,8.251992
2010,8.640000,10.413690
2011,12.400000,14.600240
2012,11,13.254360
2013,10.200000,12.440820
2014,11.200000,13.175590
2015,11.700000,13.858260
2016,13.200000,16.698420
2017,13.600000,17.049510
2018,13.755920,17.607110
2019,14.475760,19.540500
2020,15.334110,20.674560
2021,16.344650,21.351050
2022,5.471631,11.393540
