"Year","ETH production Eora 199.082 (2023)","ETH production GCB 2023v26"
1970,1.330000,
1971,1.490000,
1972,1.160000,
1973,1.390000,
1974,1.380000,
1975,1,
1976,0.981000,
1977,0.857000,
1978,1.100000,
1979,1.460000,
1980,1.450000,
1981,1.490000,
1982,1.220000,
1983,1.490000,
1984,1.380000,
1985,1.480000,
1986,1.790000,
1987,2.090000,
1988,2.170000,
1989,2.290000,
1990,2.500000,2.986507
1991,2.060000,2.958472
1992,2.200000,2.936737
1993,2.520000,2.993623
1994,2.460000,2.197201
1995,2.350000,2.505953
1996,2.620000,2.794189
1997,3.020000,2.980158
1998,3.150000,3.147422
1999,3.330000,3.094276
2000,3.600000,3.462855
2001,4.470000,4.264586
2002,4.640000,4.431687
2003,5.120000,4.870232
2004,5.480000,5.158551
2005,6.820000,4.956129
2006,6.600000,5.318177
2007,9.310000,5.839596
2008,8.590000,6.417597
2009,9.290000,6.453445
2010,11.400000,6.336871
2011,9.910000,7.402480
2012,10.100000,8.108686
2013,11.600000,9.781029
2014,12.800000,12.016546
2015,13.800000,12.696406
2016,13.900000,14.424923
2017,14.600000,15.583688
2018,15.803020,15.988957
2019,16.659260,16.674991
2020,17.545150,17.810122
2021,18.474360,18.888683
2022,19.364970,
