"Year","MOZ production Eora 199.082 (2023)","MOZ production GCB 2023v26","MOZ consumption Eora 199.082 (2023)","MOZ consumption GCB 2023v26"
1970,3.030000,,2.545630,
1971,3.660000,,2.827496,
1972,3.350000,,2.075921,
1973,3.620000,,2.265390,
1974,3.210000,,2.030511,
1975,2.950000,,2.381719,
1976,2.620000,,2.625314,
1977,2.770000,,3.690856,
1978,2.930000,,3.938029,
1979,2.710000,,4.294472,
1980,3.280000,,4.688900,
1981,2.560000,,4.020088,
1982,2.600000,,4.042667,
1983,2.040000,,2.789800,
1984,1.600000,,2.086268,
1985,1.190000,,3.467258,
1986,1.030000,,-1.674645,
1987,1.030000,,-2.546839,
1988,1.060000,,1.430229,
1989,1.090000,,3.038290,
1990,1.070000,1.025376,2.516175,4.018676
1991,1.080000,0.941464,2.594180,3.725456
1992,1.060000,1.027206,1.656060,3.565263
1993,1.140000,1.140326,-2.118568,3.913373
1994,1.120000,1.098034,-0.152532,3.941771
1995,1.180000,1.130973,2.478088,4.223661
1996,1.100000,1.091814,2.184091,2.864277
1997,1.180000,1.170237,2.477573,1.880342
1998,1.190000,1.111895,2.379213,2.775048
1999,1.310000,1.168343,2.724299,3.944797
2000,1.490000,1.321945,2.737544,4.348076
2001,2.060000,1.553994,3.220484,4.844112
2002,2.060000,1.537057,3.663963,4.706094
2003,2.600000,1.855414,4.205133,5.142186
2004,2.830000,1.863973,4.453452,5.152777
2005,2.750000,1.769683,4.333843,5.564223
2006,2.910000,1.915622,4.407759,6.010012
2007,3.180000,2.188865,4.749298,7.131112
2008,3.120000,2.179933,4.960158,8.265677
2009,3.400000,2.439006,5.250924,8.608623
2010,3.610000,2.634548,5.237968,8.253145
2011,4.100000,3.106628,5.954428,10.841694
2012,3.970000,3.054738,5.778797,9.838754
2013,5.150000,3.581790,7.023982,13.471187
2014,9.600000,8.122090,11.244770,18.212834
2015,10.100000,6.730608,11.672110,15.366203
2016,10.100000,8.547341,14.343650,16.064658
2017,10.700000,6.905362,13.371720,12.797247
2018,9.600929,7.010169,16.507350,12.831833
2019,8.780222,7.101099,15.678600,13.538363
2020,10.185780,6.376114,16.695960,12.569578
2021,10.618820,7.181195,16.790330,14.088985
2022,13.504080,,18.836220,
