"Year","KOR production EXIOBASE 3.8.2","KOR production WIOD2016","KOR production OECDv2","KOR production Eora 199.082 (2023)","KOR production FIGARO April 2022","KOR production GCB 2023v26","KOR consumption EXIOBASE 3.8.2","KOR consumption WIOD2016","KOR consumption OECDv2","KOR consumption Eora 199.082 (2023)","KOR consumption FIGARO April 2022","KOR consumption GCB 2023v26","KOR net_trade EXIOBASE 3.8.2","KOR net_trade WIOD2016","KOR net_trade OECDv2","KOR net_trade Eora 199.082 (2023)","KOR net_trade FIGARO April 2022","KOR net_trade GCB 2023v26"
1970,,,,59,,,,,,31.433430,,,,,,-27.566570,,
1971,,,,64,,,,,,34.809610,,,,,,-29.190390,,
1972,,,,65.900000,,,,,,35.545080,,,,,,-30.354920,,
1973,,,,79.600000,,,,,,45.591510,,,,,,-34.008490,,
1974,,,,82.700000,,,,,,52.522900,,,,,,-30.177100,,
1975,,,,89,,,,,,59.310370,,,,,,-29.689630,,
1976,,,,102,,,,,,75.842540,,,,,,-26.157460,,
1977,,,,115,,,,,,90.444680,,,,,,-24.555320,,
1978,,,,119,,,,,,101.071300,,,,,,-17.928700,,
1979,,,,140,,,,,,124.115900,,,,,,-15.884100,,
1980,,,,141,,,,,,121.479800,,,,,,-19.520200,,
1981,,,,146,,,,,,126.097300,,,,,,-19.902700,,
1982,,,,148,,,,,,129.144700,,,,,,-18.855300,,
1983,,,,161,,,,,,140.035300,,,,,,-20.964700,,
1984,,,,182,,,,,,155.932800,,,,,,-26.067200,,
1985,,,,201,,,,,,138.625500,,,,,,-62.374500,,
1986,,,,205,,,,,,165.277700,,,,,,-39.722300,,
1987,,,,213,,,,,,174.516500,,,,,,-38.483500,,
1988,,,,244,,,,,,226.063400,,,,,,-17.936600,,
1989,,,,257,,,,,,220.163300,,,,,,-36.836700,,
1990,,,,268,,250.510837,,,,277.029400,,320.594309,,,,9.029400,,70.083472
1991,,,,288,,275.688225,,,,308.488700,,342.026583,,,,20.488700,,66.338358
1992,,,,306,,299.905413,,,,315.665500,,395.204680,,,,9.665500,,95.299267
1993,,,,341,,330.173952,,,,330.720300,,403.755331,,,,-10.279700,,73.581379
1994,,,,362,,355.694835,,,,388.999000,,425.598903,,,,26.999000,,69.904067
1995,409.244513,,358.763007,390,,383.665454,428.538692,,369.754719,427.159400,,451.628929,19.294179,,10.991712,37.159400,,67.963475
