"Year","BRB production Eora 199.082 (2023)"
1970,0.441000
1971,0.495000
1972,0.510000
1973,0.488000
1974,0.499000
1975,0.576000
1976,0.536000
1977,0.595000
1978,0.639000
1979,0.606000
1980,0.683000
1981,0.694000
1982,0.657000
1983,0.786000
1984,0.753000
1985,0.845000
1986,0.925000
1987,0.955000
1988,0.955000
1989,0.985000
1990,1.080000
1991,1.220000
1992,0.988000
1993,1.120000
1994,0.761000
1995,0.838000
1996,0.860000
1997,0.907000
1998,1.150000
1999,1.220000
2000,1.200000
2001,1.230000
2002,1.230000
2003,1.270000
2004,1.290000
2005,1.350000
2006,1.360000
2007,1.380000
2008,1.620000
2009,1.610000
2010,1.470000
2011,1.530000
2012,1.470000
2013,1.450000
2014,1.270000
2015,1.300000
2016,1.330000
2017,1.330000
2018,1.308924
2019,1.307823
2020,1.322150
2021,1.356178
2022,1.098589
