"Year","GAB production Eora 199.082 (2023)"
1970,2.090000
1971,2.850000
1972,2.750000
1973,5.320000
1974,5.460000
1975,5.420000
1976,5.720000
1977,6.320000
1978,7.560000
1979,6.760000
1980,6.640000
1981,6.580000
1982,6.550000
1983,5.520000
1984,6
1985,6.320000
1986,4.970000
1987,4.030000
1988,4.340000
1989,5.780000
1990,4.510000
1991,4.550000
1992,4.940000
1993,5
1994,4.400000
1995,4.630000
1996,4.780000
1997,4.800000
1998,4.980000
1999,4.810000
2000,4.700000
2001,4.800000
2002,4.570000
2003,4.630000
2004,4.680000
2005,4.880000
2006,4.170000
2007,4.110000
2008,4.170000
2009,4.240000
2010,4.810000
2011,4.960000
2012,5.110000
2013,5.290000
2014,5.100000
2015,4.810000
2016,4.820000
2017,4.710000
2018,4.964595
2019,4.926854
2020,4.899306
2021,4.874210
2022,4.747368
