"Year","BWA production Eora 199.082 (2023)","BWA production GCB 2023v26","BWA consumption Eora 199.082 (2023)","BWA consumption GCB 2023v26","BWA net_trade Eora 199.082 (2023)","BWA net_trade GCB 2023v26"
1970,0.054200,,-0.326079,,-0.380279,
1971,0.055600,,-0.623296,,-0.678896,
1972,0.057100,,-1.031698,,-1.088798,
1973,0.087700,,-1.159982,,-1.247682,
1974,0.126000,,-1.021540,,-1.147540,
1975,0.226000,,-0.450098,,-0.676098,
1976,0.634000,,0.275487,,-0.358513,
1977,0.822000,,1.254447,,0.432447,
1978,0.875000,,1.409388,,0.534388,
1979,0.986000,,2.005536,,1.019536,
1980,1.030000,,2.177140,,1.147140,
1981,1.060000,,2.340885,,1.280885,
1982,1.150000,,2.214572,,1.064572,
1983,1.080000,,1.719373,,0.639373,
1984,1.100000,,1.612171,,0.512171,
1985,1.210000,,3.041020,,1.831020,
1986,1.120000,,0.258633,,-0.861367,
1987,1.300000,,0.425670,,-0.874330,
1988,1.360000,,2.486500,,1.126500,
1989,1.490000,,4.683405,,3.193405,
1990,2.770000,2.700368,5.857044,2.700368,3.087044,0
1991,2.690000,2.634416,6.214581,2.634416,3.524581,0
1992,2.880000,2.777312,5.607719,2.777312,2.727719,0
1993,3.300000,3.195008,2.675992,3.195008,-0.624008,0
1994,3.160000,3.030128,4.376526,3.030128,1.216526,0
1995,3.200000,3.044784,7.184966,3.044784,3.984966,0
1996,2.850000,2.755328,6.311852,2.755328,3.461852,0
1997,2.950000,2.799296,7.127356,2.799296,4.177356,0
1998,3.490000,3.341568,7.726632,3.341568,4.236632,0
1999,3.340000,3.158368,7.434723,3.158368,4.094723,0
2000,3.920000,3.777584,7.857930,3.282684,3.937930,-0.494900
2001,4.030000,3.847200,8.087271,3.187607,4.057271,-0.659593
2002,4.180000,3.975440,8.224695,4.343867,4.044695,0.368427
2003,4.050000,3.825216,9.040727,2.596987,4.990727,-1.228229
2004,4.090000,3.894832,9.645868,2.654262,5.555868,-1.240570
2005,4.280000,4.092687,9.209976,2.648757,4.929976,-1.443930
2006,4.310000,4.132992,9.032439,2.321004,4.722439,-1.811988
2007,4.390000,4.228256,9.838429,2.724897,5.448429,-1.503359
2008,4.650000,4.503056,10.459280,3.335133,5.809280,-1.167923
2009,3.990000,3.855444,10.472470,3.852614,6.482470,-0.002830
2010,4.760000,4.537275,11.355340,10.081517,6.595340,5.544241
2011,4.230000,4.028802,11.415900,12.601334,7.185900,8.572532
2012,4.260000,5.076711,10.976670,11.915927,6.716670,6.839215
2013,5.290000,5.663055,12.838910,12.009036,7.548910,6.345981
2014,7.090000,6.850164,14.454820,13.575514,7.364820,6.725350
2015,7.250000,5.421209,14.358460,12.782006,7.108460,7.360797
2016,7.400000,6.348201,10.396700,13.257139,2.996700,6.908939
2017,7.860000,7.077332,10.273760,11.422666,2.413760,4.345334
2018,8.416982,7.504259,11.546670,11.633079,3.129688,4.128820
2019,8.978897,6.782064,11.640530,11.816102,2.661633,5.034038
2020,9.594008,5.550960,12.330650,10.903748,2.736642,5.352788
2021,10.284510,6.130256,12.281200,11.462350,1.996690,5.332094
2022,4.902537,,8.134432,,3.231895,
