"Year","PAK production Eora 199.082 (2023)","PAK production GCB 2023v26"
1970,25.300000,
1971,24.200000,
1972,20.300000,
1973,21.400000,
1974,22.800000,
1975,24.800000,
1976,24.500000,
1977,26.100000,
1978,27.900000,
1979,30.300000,
1980,34.200000,
1981,37,
1982,41.100000,
1983,44.200000,
1984,46.800000,
1985,51.500000,
1986,52.600000,
1987,56.700000,
1988,61.300000,
1989,64,
1990,71.600000,67.827369
1991,71.200000,67.477105
1992,75.700000,72.014921
1993,81.600000,77.175721
1994,88.400000,84.018296
1995,87.900000,83.614359
1996,98,93.538964
1997,98.200000,93.788159
1998,102,96.740735
1999,105,99.389325
2000,111,103.939512
2001,113,105.400679
2002,119,112.903875
2003,127,117.490988
2004,139,129.623541
2005,144,134.692313
2006,152,143.550718
2007,165,155.402220
2008,166,153.921685
2009,166,155.418864
2010,168,153.908657
2011,169,154.650890
2012,170,154.885588
2013,172,151.524605
2014,175,156.529345
2015,183,166.432899
2016,200,195.791500
2017,213,216.158426
2018,217.269300,205.060932
2019,222.930900,206.061237
2020,226.226800,200.602803
2021,231.022100,223.285314
2022,235.572500,
