"Year","CUB production Eora 199.082 (2023)"
1970,19.500000
1971,20.300000
1972,21.600000
1973,23.400000
1974,24.200000
1975,28.600000
1976,28.900000
1977,31.200000
1978,32.400000
1979,34.100000
1980,33.600000
1981,35.300000
1982,36.500000
1983,32.800000
1984,35
1985,35.300000
1986,36.300000
1987,36.500000
1988,37.900000
1989,38.100000
1990,35.700000
1991,31.900000
1992,33.500000
1993,31.300000
1994,34
1995,27.700000
1996,28.900000
1997,26.600000
1998,26.400000
1999,27.100000
2000,27.900000
2001,26.400000
2002,26.200000
2003,25.600000
2004,25.100000
2005,26.100000
2006,27.500000
2007,26.900000
2008,30.300000
2009,29.700000
2010,37.600000
2011,35.300000
2012,35.500000
2013,34.200000
2014,34.200000
2015,34.800000
2016,35.700000
2017,35.600000
2018,35.600000
2019,35.600000
2020,35.600000
2021,35.600000
2022,35.600000
