"Year","CAF production Eora 199.082 (2023)"
1970,0.276000
1971,0.254000
1972,0.242000
1973,0.237000
1974,0.196000
1975,0.188000
1976,0.213000
1977,0.216000
1978,0.235000
1979,0.197000
1980,0.204000
1981,0.233000
1982,0.243000
1983,0.250000
1984,0.257000
1985,0.270000
1986,0.273000
1987,0.365000
1988,0.341000
1989,0.361000
1990,0.318000
1991,0.328000
1992,0.342000
1993,0.352000
1994,0.366000
1995,0.366000
1996,0.366000
1997,0.376000
1998,0.379000
1999,0.390000
2000,0.392000
2001,0.373000
2002,0.372000
2003,0.362000
2004,0.378000
2005,0.394000
2006,0.404000
2007,0.424000
2008,0.430000
2009,0.429000
2010,0.450000
2011,0.468000
2012,0.483000
2013,0.490000
2014,0.488000
2015,0.547000
2016,0.561000
2017,0.564000
2018,0.602025
2019,0.629894
2020,0.658768
2021,0.689843
2022,0.569944
