"Year","MMR production Eora 199.082 (2023)","MMR consumption Eora 199.082 (2023)"
1970,4.760000,4.365356
1971,5.270000,4.434218
1972,5.140000,3.764257
1973,4.330000,2.762086
1974,4.910000,3.185725
1975,4.840000,3.473725
1976,5.170000,4.106135
1977,5.460000,5.734782
1978,5.470000,5.336226
1979,5.410000,6.264175
1980,5.840000,6.968365
1981,6,7.124771
1982,5.970000,6.697419
1983,6.150000,5.780231
1984,7.010000,3.833732
1985,7.270000,8.557242
1986,7.310000,-14.056940
1987,5.420000,-19.064430
1988,4.570000,0.231732
1989,4.940000,5.990264
1990,4.700000,5.884142
1991,4.610000,5.283336
1992,5.320000,4.733114
1993,5.790000,-2.911056
1994,6.740000,2.023755
1995,7.440000,7.402971
1996,7.720000,7.304073
1997,8.010000,7.191829
1998,8.600000,7.269778
1999,9.500000,7.975772
2000,10.700000,7.956843
2001,9.070000,7.237787
2002,9.590000,7.840994
2003,10.300000,9.352911
2004,12.700000,11.565600
2005,11.900000,10.851220
2006,13.100000,11.827880
2007,13.100000,12.071880
2008,10,9.369230
2009,10.500000,10.061980
2010,12.800000,12.183320
2011,14.600000,13.915710
2012,11.400000,10.750960
2013,13,12.328860
2014,21.800000,20.520080
2015,22.500000,21.210880
2016,26.200000,27.343030
2017,26.900000,28.882550
2018,27.352390,33.250230
2019,27.630890,31.589010
2020,30.524770,34.599320
2021,33.342840,35.211100
2022,4.680242,13.597890
