"Year","ARM production Eora 199.082 (2023)","ARM production GCB 2023v26"
1970,9.890000,
1971,10.700000,
1972,11.400000,
1973,12.200000,
1974,12.900000,
1975,13.800000,
1976,14.500000,
1977,15.200000,
1978,16.100000,
1979,16.500000,
1980,17,
1981,17.500000,
1982,18,
1983,18.600000,
1984,19,
1985,20,
1986,19.800000,
1987,21.300000,
1988,22,
1989,21.900000,
1990,21.800000,8.947546
1991,20.400000,7.307800
1992,25.200000,5.723698
1993,10.100000,2.510247
1994,9.940000,2.684702
1995,11,3.362694
1996,7.560000,2.500312
1997,7.850000,3.252761
1998,6.600000,3.419094
1999,4.680000,3.040204
2000,3.340000,3.491407
2001,3.400000,3.532701
2002,3,3.076793
2003,3.360000,3.455560
2004,3.620000,3.691197
2005,4.290000,4.376169
2006,4.340000,4.401590
2007,5.140000,5.100210
2008,5.760000,5.574790
2009,4.680000,4.363332
2010,4.670000,4.252750
2011,5.450000,4.968878
2012,6.300000,5.748252
2013,6.060000,5.535004
2014,6.100000,5.604113
2015,6.700000,5.469323
2016,6.700000,5.203013
2017,6.570000,5.540153
2018,7.273597,5.825786
2019,7.877275,6.284110
2020,8.423436,6.799022
2021,8.928116,7.060286
2022,8.365406,
