"Year","MNE production Eora 199.082 (2023)"
1970,1.620000
1971,1.740000
1972,1.620000
1973,1.870000
1974,1.890000
1975,2.040000
1976,2.060000
1977,1.980000
1978,2.190000
1979,2.360000
1980,2.310000
1981,2.570000
1982,2.350000
1983,2.540000
1984,2.710000
1985,2.640000
1986,2.870000
1987,2.830000
1988,2.910000
1989,2.760000
1990,2.770000
1991,2.820000
1992,2.150000
1993,1.780000
1994,1.600000
1995,1.020000
1996,2.040000
1997,2.150000
1998,2.560000
1999,2.580000
2000,2.720000
2001,2.340000
2002,2.840000
2003,2.730000
2004,2.730000
2005,2.490000
2006,2.610000
2007,2.620000
2008,3.170000
2009,2.110000
2010,2.790000
2011,3.020000
2012,2.880000
2013,2.550000
2014,2.450000
2015,2.600000
2016,2.690000
2017,2.720000
2018,2.782938
2019,2.809950
2020,2.822582
2021,2.851446
2022,2.766121
