"Year","KHM production OECDv2","KHM production Eora 199.082 (2023)","KHM production GCB 2023v26","KHM consumption OECDv2","KHM consumption Eora 199.082 (2023)","KHM consumption GCB 2023v26","KHM net_trade OECDv2","KHM net_trade Eora 199.082 (2023)","KHM net_trade GCB 2023v26"
1970,,1.190000,,,0.754456,,,-0.435544,
1971,,0.265000,,,-0.463614,,,-0.728614,
1972,,0.133000,,,-1.072423,,,-1.205423,
1973,,0.145000,,,-1.262482,,,-1.407482,
1974,,0.089500,,,-1.332571,,,-1.422071,
1975,,0.089500,,,-0.843038,,,-0.932538,
1976,,0.089000,,,-0.517487,,,-0.606487,
1977,,0.088500,,,0.176371,,,0.087871,
1978,,0.067100,,,0.078677,,,0.011577,
1979,,0.051100,,,0.345308,,,0.294208,
1980,,0.310000,,,0.599231,,,0.289231,
1981,,0.328000,,,0.585957,,,0.257957,
1982,,0.368000,,,0.392225,,,0.024225,
1983,,0.400000,,,-0.070561,,,-0.470561,
1984,,0.448000,,,-0.303150,,,-0.751150,
1985,,0.458000,,,0.850101,,,0.392101,
1986,,0.476000,,,-2.219638,,,-2.695638,
1987,,0.483000,,,-2.895591,,,-3.378591,
1988,,0.501000,,,-0.284514,,,-0.785514,
1989,,0.504000,,,0.843496,,,0.339496,
1990,,1.320000,1.260416,,1.560940,1.854301,,0.240940,0.593885
1991,,1.370000,1.304384,,1.637067,1.927508,,0.267067,0.623124
1992,,1.410000,1.348352,,0.998884,2.023476,,-0.411116,0.675124
1993,,1.450000,1.384992,,-1.841102,1.983482,,-3.291102,0.598490
1994,,1.500000,1.481907,,0.271864,2.120550,,-1.228136,0.638643
1995,1.469452,1.570000,1.555486,2.552359,2.870805,2.064383,1.082907,1.300805,0.508897
1996,1.529644,1.630000,1.631315,2.619307,2.703606,2.343041,1.089663,1.073606,0.711726
1997,1.629769,1.560000,1.551863,2.733097,2.685338,2.283656,1.103328,1.125338,0.731793
1998,1.879337,1.970000,1.962680,2.964952,2.881848,2.846432,1.085615,0.911848,0.883752
1999,1.909415,1.990000,1.894288,3.224207,2.999526,2.726359,1.314793,1.009526,0.832071
2000,1.949229,2.070000,1.974896,3.510800,3.059741,4.868223,1.561571,0.989741,2.893327
2001,2.128909,2.340000,2.249696,3.878116,3.339499,5.612942,1.749207,0.999499,3.363246
2002,2.198745,2.290000,2.205728,4.208906,3.410529,7.109130,2.010161,1.120529,4.903402
2003,2.348978,2.460000,2.377936,4.371808,3.789636,6.403931,2.022829,1.329636,4.025995
2004,2.358584,2.530000,2.443888,4.605115,4.084466,7.902295,2.246531,1.554466,5.458407
2005,2.627750,2.860000,2.773648,4.939548,4.603616,9.656280,2.311798,1.743616,6.882632
2006,2.945847,3.080000,2.997152,5.772001,5.181855,10.639511,2.826154,2.101855,7.642359
2007,3.417563,3.500000,3.471142,6.216202,5.883442,11.167703,2.798639,2.383442,7.696561
2008,3.527405,3.860000,3.866716,5.943538,6.415100,13.225890,2.416133,2.555100,9.359174
2009,3.626869,4.590000,4.557086,6.281247,6.874785,11.638930,2.654377,2.284785,7.081844
2010,3.746639,4.980000,5.078142,6.225629,7.539323,15.768148,2.478990,2.559323,10.690005
2011,4.010098,5.150000,5.274698,6.738812,8.089858,22.188038,2.728715,2.939858,16.913340
2012,,5.390000,5.576016,,8.299727,21.684168,,2.909727,16.108152
2013,,5.530000,5.636730,,8.544471,24.997426,,3.014471,19.360696
2014,,6.580000,6.834254,,9.302145,23.406882,,2.722145,16.572629
2015,,6.890000,8.365610,,9.382388,28.493504,,2.492388,20.127894
2016,,7.780000,10.921712,,12.186980,27.562252,,4.406980,16.640540
2017,,8.010000,12.475530,,12.461450,29.048193,,4.451450,16.572663
2018,,8.753622,13.933845,,14.034910,33.532248,,5.281288,19.598403
2019,,9.482530,18.219576,,14.627810,39.532109,,5.145280,21.312532
2020,,10.243010,19.034220,,15.573220,41.184881,,5.330210,22.150661
2021,,11.051940,20.107466,,16.199890,41.932618,,5.147950,21.825152
2022,,10.618520,,,16.197740,,,5.579220,
