"Year","GTM production Eora 199.082 (2023)","GTM production GCB 2023v26","GTM consumption Eora 199.082 (2023)","GTM consumption GCB 2023v26","GTM net_trade Eora 199.082 (2023)","GTM net_trade GCB 2023v26"
1970,2.090000,,1.674934,,-0.415066,
1971,2.170000,,1.407183,,-0.762817,
1972,2.430000,,1.206981,,-1.223019,
1973,2.650000,,1.390222,,-1.259778,
1974,2.770000,,1.893767,,-0.876233,
1975,3.160000,,2.906440,,-0.253560,
1976,3,,3.587636,,0.587636,
1977,3.450000,,5.048042,,1.598042,
1978,3.700000,,5.499427,,1.799427,
1979,4.180000,,6.480198,,2.300198,
1980,4.040000,,6.555941,,2.515941,
1981,3.550000,,5.952048,,2.402048,
1982,3.280000,,4.678279,,1.398279,
1983,2.860000,,3.525309,,0.665309,
1984,3.110000,,3.529837,,0.419837,
1985,3.210000,,5.584032,,2.374032,
1986,3.370000,,1.613275,,-1.756725,
1987,3.570000,,1.872816,,-1.697184,
1988,3.680000,,4.265592,,0.585592,
1989,3.840000,,5.947221,,2.107221,
1990,4.500000,4.972245,5.997338,6.796380,1.497338,1.824136
1991,5.630000,4.951134,7.092082,6.805292,1.462082,1.854158
1992,7.560000,5.919209,8.499080,8.097380,0.939080,2.178171
1993,7.930000,5.577778,5.471452,7.590572,-2.458548,2.012793
1994,10.500000,6.751174,9.740277,8.633228,-0.759723,1.882054
1995,10.300000,7.078550,12.133020,9.177172,1.833020,2.098622
1996,8.920000,6.571124,10.726930,8.816177,1.806930,2.245053
1997,9.710000,7.501859,11.585060,10.202811,1.875060,2.700952
1998,10.600000,8.639397,12.189970,12.112910,1.589970,3.473513
1999,10.400000,8.805825,11.804360,12.099914,1.404360,3.294088
2000,10.900000,9.764762,12.187900,23.003415,1.287900,13.238653
2001,11.400000,10.233260,12.978320,8.775986,1.578320,-1.457273
2002,11.800000,10.721662,13.455390,9.313862,1.655390,-1.407799
2003,11.200000,10.447951,13.357060,9.112896,2.157060,-1.335055
2004,12,11.180307,14.178220,9.477855,2.178220,-1.702452
2005,12.800000,12.109271,15.073500,10.165283,2.273500,-1.943987
2006,12.900000,12.176554,15.554280,11.197761,2.654280,-0.978793
2007,12.800000,12.144909,15.755510,10.925773,2.955510,-1.219135
2008,11.700000,10.893166,15.009970,10.049945,3.309970,-0.843221
2009,12,11.442047,14.846080,10.064259,2.846080,-1.377789
2010,12,11.097682,15.149540,10.330041,3.149540,-0.767641
2011,12.200000,11.237312,15.735310,9.568168,3.535310,-1.669144
2012,12.400000,11.576644,15.927620,9.632014,3.527620,-1.944630
2013,13.900000,12.811682,17.352220,10.733613,3.452220,-2.078069
2014,18.500000,13.827098,21.123260,11.402696,2.623260,-2.424401
2015,16.400000,15.951887,19.310620,13.434035,2.910620,-2.517852
2016,17,16.926494,21.534370,14.249292,4.534370,-2.677203
2017,16.900000,17.320534,21.974010,15.319442,5.074010,-2.001091
2018,17.840520,18.500795,23.705230,23.122156,5.864710,4.621361
2019,18.628270,19.501705,23.492860,23.888978,4.864590,4.387273
2020,19.526950,17.336898,24.570870,21.425160,5.043920,4.088262
2021,20.533350,19.647935,24.961630,24.162499,4.428280,4.514564
2022,21.405440,,25.363100,,3.957660,
