"Year","GUY production Eora 199.082 (2023)"
1970,2.010000
1971,1.910000
1972,1.990000
1973,2.300000
1974,1.980000
1975,2.320000
1976,2.230000
1977,2.420000
1978,2.620000
1979,1.940000
1980,2.280000
1981,2.290000
1982,1.790000
1983,1.590000
1984,1.790000
1985,1.810000
1986,1.330000
1987,1.670000
1988,1.790000
1989,1.510000
1990,1.440000
1991,1.450000
1992,1.440000
1993,1.440000
1994,1.440000
1995,1.470000
1996,1.540000
1997,1.690000
1998,1.780000
1999,1.730000
2000,1.690000
2001,2.100000
2002,1.660000
2003,1.670000
2004,1.670000
2005,1.470000
2006,1.320000
2007,1.600000
2008,1.590000
2009,1.600000
2010,1.760000
2011,1.820000
2012,2.030000
2013,1.980000
2014,2.050000
2015,2.040000
2016,2.150000
2017,2.170000
2018,2.322666
2019,2.429480
2020,5.334558
2021,5.590625
2022,9.083655
