"Year","TZA production Eora 199.082 (2023)","TZA production GCB 2023v26","TZA consumption Eora 199.082 (2023)","TZA consumption GCB 2023v26","TZA net_trade Eora 199.082 (2023)","TZA net_trade GCB 2023v26"
1970,1.840000,,1.349593,,-0.490407,
1971,2.550000,,1.729110,,-0.820890,
1972,2.250000,,1.066574,,-1.183426,
1973,3.270000,,1.975672,,-1.294328,
1974,2.420000,,1.412969,,-1.007031,
1975,2.390000,,1.859120,,-0.530880,
1976,2.890000,,2.704696,,-0.185304,
1977,2.130000,,2.822114,,0.692114,
1978,2.310000,,3.149643,,0.839643,
1979,2.200000,,3.571984,,1.371984,
1980,2,,3.472916,,1.472916,
1981,2.240000,,3.423018,,1.183018,
1982,2.280000,,2.874380,,0.594380,
1983,2.320000,,2.323773,,0.003773,
1984,2.470000,,2.321137,,-0.148863,
1985,2.470000,,3.850393,,1.380393,
1986,2.410000,,0.508603,,-1.901397,
1987,2.510000,,0.001618,,-2.508382,
1988,2.410000,,2.481684,,0.071684,
1989,2.300000,,3.748001,,1.448001,
1990,2.380000,2.112309,3.738928,3.646276,1.358928,1.533967
1991,2.510000,2.255268,4.050378,3.837065,1.540378,1.581798
1992,2.420000,2.177588,3.305928,3.751008,0.885928,1.573419
1993,2.710000,2.426036,-0.433309,4.018400,-3.143309,1.592364
1994,2.550000,2.063123,1.554925,3.786614,-0.995075,1.723490
1995,3.630000,2.433890,5.278377,4.126572,1.648377,1.692681
1996,3.540000,2.526706,4.987240,3.857225,1.447240,1.330520
1997,2.980000,2.824358,4.619973,4.259950,1.639973,1.435592
1998,2.630000,2.480937,4.412752,4.197824,1.782752,1.716886
1999,2.600000,2.458755,4.334297,4.392903,1.734297,1.934148
2000,2.720000,2.571821,4.327203,4.941194,1.607203,2.369373
2001,3.180000,3.040810,4.974749,5.457682,1.794749,2.416872
2002,3.630000,3.485616,5.352251,5.884788,1.722251,2.399172
2003,3.850000,3.687241,5.926580,6.127460,2.076580,2.440218
2004,4.410000,4.221283,6.802184,6.827772,2.392184,2.606488
2005,5.540000,5.355817,8.101975,8.717393,2.561975,3.361576
2006,6.060000,5.876241,9.099248,8.675746,3.039248,2.799505
2007,5.900000,5.706146,9.486888,9.189384,3.586888,3.483238
2008,6.120000,5.911275,10.167270,11.528966,4.047270,5.617690
2009,5.880000,5.767178,9.899697,9.910006,4.019697,4.142828
2010,7.040000,6.922992,11.347270,11.111984,4.307270,4.188992
2011,8.040000,7.523881,12.749460,14.131905,4.709460,6.608024
2012,9.430000,8.784956,12.384480,15.046610,2.954480,6.261654
2013,11.100000,9.686995,14.079640,18.278414,2.979640,8.591418
2014,11.500000,9.198410,14.559940,18.134844,3.059940,8.936435
2015,11.100000,9.723330,14.427440,19.270174,3.327440,9.546844
2016,11.600000,10.213532,16.391670,16.544252,4.791670,6.330720
2017,12.200000,11.233944,17.181700,16.647024,4.981700,5.413080
2018,13.049920,11.837862,18.579690,17.712440,5.529770,5.874578
2019,14.118470,13.743298,18.834930,19.122705,4.716460,5.379407
2020,14.977280,14.168675,19.496470,19.424877,4.519190,5.256202
2021,15.712300,15.396233,20.044150,21.481519,4.331850,6.085286
2022,17.179850,,21.471470,,4.291620,
