"Year","TUR production EXIOBASE 3.8.2","TUR production WIOD2016","TUR production OECDv2","TUR production Eora 199.082 (2023)","TUR production FIGARO April 2022","TUR production GCB 2023v26","TUR production Eurostat NAMEA","TUR consumption EXIOBASE 3.8.2","TUR consumption WIOD2016","TUR consumption OECDv2","TUR consumption Eora 199.082 (2023)","TUR consumption FIGARO April 2022","TUR consumption GCB 2023v26","TUR net_trade EXIOBASE 3.8.2","TUR net_trade WIOD2016","TUR net_trade OECDv2","TUR net_trade Eora 199.082 (2023)","TUR net_trade FIGARO April 2022","TUR net_trade GCB 2023v26"
1970,,,,49.100000,,,,,,,48.307870,,,,,,-0.792130,,
1971,,,,53.800000,,,,,,,51.940320,,,,,,-1.859680,,
1972,,,,60.300000,,,,,,,56.739560,,,,,,-3.560440,,
1973,,,,67,,,,,,,61.189620,,,,,,-5.810380,,
1974,,,,69,,,,,,,62.176350,,,,,,-6.823650,,
1975,,,,73,,,,,,,68.692470,,,,,,-4.307530,,
1976,,,,81.100000,,,,,,,78.759840,,,,,,-2.340160,,
1977,,,,90.500000,,,,,,,90.611800,,,,,,0.111800,,
1978,,,,84.100000,,,,,,,81.224170,,,,,,-2.875830,,
1979,,,,82.500000,,,,,,,82.215760,,,,,,-0.284240,,
1980,,,,82.900000,,,,,,,82.804090,,,,,,-0.095910,,
1981,,,,86.300000,,,,,,,86.700360,,,,,,0.400360,,
1982,,,,92.800000,,,,,,,93.350160,,,,,,0.550160,,
1983,,,,96.900000,,,,,,,95.841590,,,,,,-1.058410,,
1984,,,,103,,,,,,,98.863020,,,,,,-4.136980,,
1985,,,,110,,,,,,,112.997800,,,,,,2.997800,,
1986,,,,125,,,,,,,90.473480,,,,,,-34.526520,,
1987,,,,138,,,,,,,99.518960,,,,,,-38.481040,,
1988,,,,136,,,,,,,125.409300,,,,,,-10.590700,,
1989,,,,143,,,,,,,146.075900,,,,,,3.075900,,
1990,,,,157,,151.614981,,,,,167.677400,,215.375270,,,,10.677400,,63.760289
1991,,,,162,,158.126315,,,,,174.884100,,213.632941,,,,12.884100,,55.506626
1992,,,,168,,164.064876,,,,,178.693300,,249.493694,,,,10.693300,,85.428818
1993,,,,174,,171.138875,,,,,167.307700,,231.284879,,,,-6.692300,,60.146004
1994,,,,171,,167.565647,,,,,166.624800,,210.260030,,,,-4.375200,,42.694384
1995,179.256434,,152.572714,184,,181.355257,181.481826,177.491961,,174.413359,200.049600,,223.823614,-1.764473,,21.840645,16.049600,,42.468357
1996,196.446084,,168.833759,202,,199.646693,199.582745,248.874136,,187.488936,220.965400,,210.663713,52.428052,,18.655178,18.965400,,11.017020
1997,205.334932,,176.796643,215,,212.108198,212.037409,221.452413,,195.935697,236.013400,,224.747365,16.117481,,19.139053,21.013400,,12.639167
1998,206.518046,,177.875652,216,,212.135043,212.069926,225.494608,,195.570457,242.305500,,226.892655,18.976562,,17.694805,26.305500,,14.757612
1999,206.123910,,176.610477,211,,207.927912,207.857771,225.836037,,195.992391,232.687800,,230.897497,19.712127,,19.381913,21.687800,,22.969586
2000,228.837398,226.029841,200.325026,233,,229.936660,229.858207,243.087742,254.457238,230.908636,260.192700,,255.141502,14.250344,28.427397,30.583610,27.192700,,25.204842
2001,210.029262,209.529144,182.033020,216,,213.581229,213.483471,192.107880,196.761364,188.857626,230.846900,,205.234504,-17.921382,-12.767780,6.824606,14.846900,,-8.346725
2002,221.128619,217.652911,191.832702,223,,221.225642,221.148221,214.396181,208.404023,201.728671,242.436100,,225.244077,-6.732438,-9.248888,9.895969,19.436100,,4.018434
2003,231.887572,232.963017,201.775881,239,,236.765649,236.683290,242.758440,241.285028,226.771759,264.070500,,247.653451,10.870868,8.322011,24.995879,25.070500,,10.887802
2004,239.723776,241.909222,206.972795,248,,244.768581,244.688735,259.717354,261.543948,243.970969,282.442000,,279.623103,19.993578,19.634726,36.998174,34.442000,,34.854522
2005,252.474572,260.897954,216.181195,267,,264.870636,264.768615,281.306977,294.577610,270.689897,304.061700,,305.339657,28.832406,33.679656,54.508701,37.061700,,40.469021
2006,279.603005,281.541720,239.218105,286,,282.368323,282.266691,317.103332,319.764762,292.621174,330.836800,,328.897160,37.500327,38.223042,53.403069,44.836800,,46.528837
2007,310.270261,312.862498,264.775504,315,,313.693363,313.578157,354.648863,352.446774,326.215295,365.028500,,364.724010,44.378602,39.584276,61.439790,50.028500,,51.030647
2008,313.341781,310.396696,263.378963,313,,310.622132,310.532303,347.522963,347.390187,320.222503,366.536400,,351.966223,34.181182,36.993491,56.843541,53.536400,,41.344091
2009,306.771623,316.771032,255.946559,318,,316.412299,316.319322,314.439131,317.827465,293.041413,352.780800,,326.503946,7.667509,1.056433,37.094854,34.780800,,10.091647
2010,317.874346,319.528397,265.663241,316,316.036053,316.193043,316.036475,345.178263,351.884179,327.744499,370.588800,401.942350,354.414425,27.303917,32.355782,62.081258,54.588800,85.906297,38.221382
2011,338.757347,344.745497,285.496141,342,341.861711,342.057326,341.862344,370.888275,379.640927,349.992564,407.293500,452.648197,387.907687,32.130928,34.895430,64.496422,65.293500,110.786486,45.850361
2012,359.015279,354.134763,,356,355.882138,356.107201,355.882640,385.385414,365.597457,,414.718200,458.788433,398.509938,26.370135,11.462694,,58.718200,102.906295,42.402736
2013,340.336592,346.780966,,348,347.152349,347.331771,347.152667,368.669359,376.529634,,410.280500,467.363749,387.323042,28.332767,29.748668,,62.280500,120.211400,39.991270
2014,365.630321,357.559965,,364,363.865329,364.028278,363.866339,390.317714,368.384414,,417.609400,467.917747,399.489453,24.687392,10.824449,,53.609400,104.052418,35.461176
2015,376.226347,,,384,384.329867,384.929660,384.330489,392.626561,,,438.337600,470.687262,413.357415,16.400213,,,54.337600,86.357395,28.427754
