"Year","PAK production Eora 199.082 (2023)","PAK production GCB 2023v26","PAK consumption Eora 199.082 (2023)","PAK consumption GCB 2023v26","PAK net_trade Eora 199.082 (2023)","PAK net_trade GCB 2023v26"
1970,25.300000,,25.092140,,-0.207860,
1971,24.200000,,23.656370,,-0.543630,
1972,20.300000,,19.079780,,-1.220220,
1973,21.400000,,20.208050,,-1.191950,
1974,22.800000,,22.156790,,-0.643210,
1975,24.800000,,25.555100,,0.755100,
1976,24.500000,,26.155400,,1.655400,
1977,26.100000,,28.976870,,2.876870,
1978,27.900000,,31.107520,,3.207520,
1979,30.300000,,34.981900,,4.681900,
1980,34.200000,,39.816990,,5.616990,
1981,37,,43.090560,,6.090560,
1982,41.100000,,45.973200,,4.873200,
1983,44.200000,,48.199620,,3.999620,
1984,46.800000,,49.997190,,3.197190,
1985,51.500000,,58.650590,,7.150590,
1986,52.600000,,47.210330,,-5.389670,
1987,56.700000,,50.310690,,-6.389310,
1988,61.300000,,59.770480,,-1.529520,
1989,64,,63.023780,,-0.976220,
1990,71.600000,67.827369,68.389980,72.362450,-3.210020,4.535081
1991,71.200000,67.477105,67.225650,70.591821,-3.974350,3.114716
1992,75.700000,72.014921,71.066980,77.567756,-4.633020,5.552836
1993,81.600000,77.175721,72.521620,82.365227,-9.078380,5.189505
1994,88.400000,84.018296,80.171330,89.025056,-8.228670,5.006760
1995,87.900000,83.614359,82.736490,88.752655,-5.163510,5.138296
1996,98,93.538964,91.890880,99.040703,-6.109120,5.501739
1997,98.200000,93.788159,91.696900,97.802934,-6.503100,4.014775
1998,102,96.740735,92.961710,97.059281,-9.038290,0.318546
1999,105,99.389325,95.100490,107.045832,-9.899510,7.656507
2000,111,103.939512,99.613300,108.763308,-11.386700,4.823796
2001,113,105.400679,101.133900,110.462719,-11.866100,5.062040
2002,119,112.903875,105.599900,121.271367,-13.400100,8.367492
2003,127,117.490988,114.391100,120.290082,-12.608900,2.799094
2004,139,129.623541,123.294600,141.405897,-15.705400,11.782356
2005,144,134.692313,130.623300,146.897157,-13.376700,12.204844
2006,152,143.550718,140.582700,156.912673,-11.417300,13.361955
2007,165,155.402220,150.131800,167.971319,-14.868200,12.569099
2008,166,153.921685,150.208400,167.694188,-15.791600,13.772503
2009,166,155.418864,151.507500,167.083953,-14.492500,11.665090
2010,168,153.908657,152.282100,165.769306,-15.717900,11.860649
2011,169,154.650890,155.742000,168.633669,-13.258000,13.982780
2012,170,154.885588,156.961800,171.160796,-13.038200,16.275208
2013,172,151.524605,157.931800,165.118266,-14.068200,13.593661
2014,175,156.529345,160.508800,173.087876,-14.491200,16.558531
2015,183,166.432899,166.921000,188.516722,-16.079000,22.083823
2016,200,195.791500,208.745300,220.400008,8.745300,24.608509
2017,213,216.158426,226.166000,240.727909,13.166000,24.569483
2018,217.269300,205.060932,228.669000,227.784780,11.399700,22.723848
2019,222.930900,206.061237,228.886200,226.952956,5.955300,20.891719
2020,226.226800,200.602803,232.694800,219.594958,6.468000,18.992155
2021,231.022100,223.285314,236.203700,246.160820,5.181600,22.875506
2022,235.572500,,240.106600,,4.534100,
