"Year","CMR production Eora 199.082 (2023)","CMR production GCB 2023v26","CMR consumption Eora 199.082 (2023)","CMR consumption GCB 2023v26"
1970,1.210000,,0.310307,
1971,1.390000,,0.158776,
1972,1.430000,,-0.164660,
1973,1.490000,,-0.192003,
1974,1.580000,,-0.002756,
1975,1.790000,,0.745826,
1976,1.730000,,1.088053,
1977,2.240000,,2.364196,
1978,2.670000,,2.896467,
1979,2.520000,,3.293890,
1980,4.600000,,5.316988,
1981,6.100000,,6.481505,
1982,7.120000,,7.089145,
1983,9.530000,,8.864575,
1984,9.400000,,8.511291,
1985,9.460000,,9.872535,
1986,6.100000,,3.681779,
1987,5.480000,,2.923209,
1988,3.460000,,3.245749,
1989,10.100000,,10.550900,
1990,4.300000,2.604793,5.151750,3.055164
1991,3.680000,2.668440,4.447214,3.105551
1992,6.370000,2.712299,6.186132,3.286373
1993,6.760000,2.865801,2.696480,3.455746
1994,12.100000,4.879764,8.878338,5.145279
1995,12.500000,5.374671,11.523870,5.615339
1996,12.300000,5.974660,11.346190,6.111460
1997,10.900000,5.378781,10.155050,6.057954
1998,10.900000,5.373172,10.243490,6.088345
1999,10.800000,5.219450,10.135570,5.144557
2000,10.900000,5.588569,10.016520,6.185098
2001,10.600000,5.562424,9.952701,6.881539
2002,10,5.350642,9.518021,7.606111
2003,10.200000,5.704622,9.928386,6.438918
2004,10.600000,5.698455,10.455040,6.165882
2005,10.500000,5.423858,10.399630,6.267820
2006,10.800000,5.485919,10.581040,6.242424
2007,12.700000,7.409373,12.421890,7.452115
2008,12.700000,7.320619,12.700520,7.753569
2009,13.900000,8.554963,14.027940,9.705278
2010,13.100000,8.383322,13.285140,9.614666
2011,11.700000,8.105014,12.128280,9.296383
2012,12,7.603374,12.528110,9.852804
2013,12.800000,7.849517,13.402240,9.620440
2014,13,8.771510,13.505230,10.597958
2015,13.800000,9.850663,14.289150,11.136914
2016,14.300000,9.958010,15.243460,11.525066
2017,14.200000,9.578064,14.805210,11.219994
2018,14.934610,9.645489,16.706170,10.412311
2019,15.509690,9.591827,17.189070,10.181406
2020,16.114780,9.701611,17.802760,10.546998
2021,16.722120,10.285467,18.159290,11.109399
2022,16.178250,,17.679560,
