"Year","BRN production OECDv2","BRN production Eora 199.082 (2023)","BRN production GCB 2023v26","BRN consumption OECDv2","BRN consumption Eora 199.082 (2023)","BRN consumption GCB 2023v26","BRN net_trade OECDv2","BRN net_trade Eora 199.082 (2023)","BRN net_trade GCB 2023v26"
1970,,8.220000,,,6.272052,,,-1.947948,
1971,,7.530000,,,5.379564,,,-2.150436,
1972,,9.470000,,,6.693271,,,-2.776729,
1973,,10,,,6.911814,,,-3.088186,
1974,,8.200000,,,5.599554,,,-2.600446,
1975,,7.090000,,,5.128972,,,-1.961028,
1976,,6.030000,,,3.793386,,,-2.236614,
1977,,6.400000,,,4.096763,,,-2.303237,
1978,,9.550000,,,5.034216,,,-4.515784,
1979,,7.450000,,,3.806799,,,-3.643201,
1980,,6.890000,,,3.820662,,,-3.069338,
1981,,2.070000,,,1.487835,,,-0.582165,
1982,,2.680000,,,1.746328,,,-0.933672,
1983,,2.750000,,,1.472325,,,-1.277675,
1984,,1.930000,,,0.840910,,,-1.089090,
1985,,2.610000,,,2.434199,,,-0.175801,
1986,,2.310000,,,-1.215248,,,-3.525248,
1987,,3.330000,,,-0.673726,,,-4.003726,
1988,,5.730000,,,2.589104,,,-3.140896,
1989,,6.360000,,,4.018867,,,-2.341133,
1990,,6.210000,5.455696,,3.789137,3.978838,,-2.420863,-1.476858
1991,,5.330000,7.210752,,3.270355,4.861083,,-2.059645,-2.349669
1992,,5.230000,6.884656,,2.838772,5.157122,,-2.391228,-1.727534
1993,,4.990000,6.357040,,-0.816845,5.379037,,-5.806845,-0.978003
1994,,4.710000,5.552968,,1.010216,5.269134,,-3.699784,-0.283834
1995,4.455851,4.800000,5.825335,4.692313,3.246846,5.270051,0.236461,-1.553154,-0.555284
1996,4.681582,4.890000,5.878721,5.110784,3.222001,5.978803,0.429202,-1.667999,0.100082
1997,5.060702,5.080000,6.087246,5.558679,3.611331,4.432657,0.497977,-1.468669,-1.654589
1998,4.309883,5.290000,5.595279,5.082569,3.611933,5.435976,0.772686,-1.678067,-0.159303
1999,4.199162,3.930000,5.978051,4.622060,2.736276,4.412760,0.422898,-1.193724,-1.565291
2000,4.430801,4.730000,5.328739,4.331748,2.797910,3.519595,-0.099053,-1.932090,-1.809144
2001,4.267517,4.530000,5.189616,4.289175,2.742685,3.460707,0.021658,-1.787315,-1.728908
2002,4.350296,4.400000,4.669874,4.769555,2.686393,3.437992,0.419259,-1.713607,-1.231882
2003,5.240591,4.620000,5.597862,4.946190,2.730363,5.405329,-0.294401,-1.889637,-0.192533
2004,4.902802,5.020000,5.640577,5.002601,2.844510,5.345613,0.099799,-2.175490,-0.294964
2005,4.809268,5.030000,5.428519,5.007709,2.738304,5.088478,0.198442,-2.291696,-0.340041
2006,7.171892,4.890000,7.143688,5.853183,2.609740,6.101748,-1.318710,-2.280260,-1.041940
2007,6.781428,8.440000,8.076697,5.766158,4.166865,7.047148,-1.015270,-4.273135,-1.029548
2008,7.183128,9.140000,9.165561,5.840257,3.887695,7.703739,-1.342871,-5.252305,-1.461822
2009,7.387347,7.890000,7.744925,6.182806,4.116124,6.458069,-1.204541,-3.773876,-1.286856
2010,7.544923,8.230000,8.017382,5.513197,3.987626,6.558398,-2.031725,-4.242374,-1.458984
2011,8.227611,9.720000,9.555439,5.728852,4.413599,8.750834,-2.498760,-5.306401,-0.804605
2012,,9.700000,9.499828,,4.398608,9.054408,,-5.301392,-0.445420
2013,,7.830000,7.626055,,4.017588,8.567082,,-3.812412,0.941027
2014,,9.140000,8.830992,,4.372653,8.691585,,-4.767347,-0.139407
2015,,9.320000,6.933290,,4.546823,7.551873,,-4.773177,0.618583
2016,,10.500000,7.632908,,5.661453,7.053709,,-4.838547,-0.579199
2017,,10.800000,9.309384,,5.754738,8.400328,,-5.045262,-0.909056
2018,,9.662046,9.344461,,6.191572,9.380081,,-3.470474,0.035620
2019,,10.171650,10.732756,,6.444478,10.023899,,-3.727172,-0.708857
2020,,10.920650,11.101930,,6.713657,10.400843,,-4.206993,-0.701087
2021,,11.509390,11.293591,,6.906432,9.682547,,-4.602958,-1.611044
2022,,15.319880,,,8.527877,,,-6.792003,
