"Year","YEM production Eora 199.082 (2023)"
1970,2.610000
1971,2.070000
1972,1.610000
1973,2.840000
1974,2.360000
1975,2.280000
1976,2.700000
1977,3.120000
1978,3.260000
1979,3.380000
1980,3.470000
1981,4.390000
1982,6.120000
1983,6.550000
1984,7.420000
1985,8.720000
1986,8.500000
1987,8.900000
1988,9.840000
1989,10.100000
1990,9.840000
1991,9.450000
1992,10.200000
1993,8.940000
1994,10.200000
1995,11.400000
1996,12
1997,15.200000
1998,14.100000
1999,16.400000
2000,17.700000
2001,18.600000
2002,17.400000
2003,18.800000
2004,19.700000
2005,20.700000
2006,21.900000
2007,21.900000
2008,22.400000
2009,24.200000
2010,22.500000
2011,21
2012,23.500000
2013,32.400000
2014,29
2015,25.900000
2016,25.100000
2017,25
2018,27.149850
2019,28.479290
2020,29.762480
2021,32.127400
2022,29.673330
