"Year","MLT production EXIOBASE 3.8.2","MLT production WIOD2016","MLT production OECDv2","MLT production Eora 199.082","MLT production FIGARO April 2022","MLT production GCB 2023v26","MLT production Eurostat NAMEA"
1990,,,,2.350000,,2.427397,
1991,,,,2.260000,,2.271843,
1992,,,,2.210000,,2.293597,
1993,,,,2.840000,,2.885588,
1994,,,,2.540000,,2.658345,
1995,2.846853,,2.341057,2.420000,,2.452126,2.708807
1996,2.829072,,2.300332,2.360000,,2.533947,2.816136
1997,2.961580,,2.434881,2.530000,,2.556249,2.837338
1998,2.862473,,2.335449,2.410000,,2.524936,2.782255
1999,2.896490,,2.387499,2.450000,,2.572865,2.866544
2000,2.642093,3.236620,2.110563,2.170000,,2.468153,2.771557
2001,3.039349,3.159193,2.469822,2.540000,,2.736559,2.875465
2002,2.837060,3.247661,2.299683,2.370000,,2.747227,2.897872
2003,3.081086,3.505754,2.577363,2.630000,,2.960833,3.169853
2004,3.098938,3.471064,2.580125,2.650000,,2.849056,3.035292
2005,3.197285,3.296506,2.711420,2.760000,,2.656658,2.855594
2006,3.031914,3.389221,2.586242,2.640000,,2.667484,2.871405
2007,3.153804,3.548216,2.726657,2.800000,,2.731439,2.953649
2008,2.982723,3.676049,2.571023,2.620000,,2.690432,2.967985
2009,2.845999,3.611258,2.457838,2.510000,,2.526344,2.748223
2010,2.950822,3.901736,2.481427,2.630000,2.933993,2.602794,2.828644
2011,2.963629,3.856728,2.477534,2.610000,2.940969,2.583914,2.836966
2012,3.087996,3.903805,,2.770000,3.107338,2.717043,2.981987
2013,2.758753,3.571426,,2.430000,2.809122,2.379249,2.660064
2014,2.746967,3.634278,,2.410000,2.835287,2.364416,2.663438
2015,2.061802,,,1.700000,2.146818,1.665293,1.963134
2016,1.707549,,,1.420000,1.759651,1.356298,1.631485
2017,1.248460,,,1.030000,1.970673,1.530839,1.823466
2018,1.247274,,,1.029414,2.049742,1.546735,1.895719
2019,1.264428,,,1.043602,2.224805,1.648764,2.034415
2020,1.317403,,,0.984347,1.726395,1.597200,1.770987
2021,1.479931,,,0.533367,,1.606727,1.757524
2022,1.394864,,,,,,
