"Year","MUS production Eora 199.082 (2023)","MUS production GCB 2023v26","MUS consumption Eora 199.082 (2023)","MUS consumption GCB 2023v26","MUS net_trade Eora 199.082 (2023)","MUS net_trade GCB 2023v26"
1970,0.594000,,-0.138414,,-0.732414,
1971,0.484000,,-0.720096,,-1.204096,
1972,0.822000,,-1.177704,,-1.999704,
1973,0.798000,,-1.501771,,-2.299771,
1974,0.815000,,-1.443363,,-2.258363,
1975,0.696000,,-0.789915,,-1.485915,
1976,0.710000,,-0.274444,,-0.984444,
1977,0.741000,,0.941355,,0.200355,
1978,0.717000,,0.886440,,0.169440,
1979,0.750000,,1.410903,,0.660903,
1980,0.682000,,1.389410,,0.707410,
1981,0.630000,,1.274465,,0.644465,
1982,0.585000,,0.799829,,0.214829,
1983,0.687000,,0.093567,,-0.593433,
1984,0.724000,,-0.191361,,-0.915361,
1985,0.812000,,1.772490,,0.960490,
1986,0.912000,,-2.697319,,-3.609319,
1987,1.060000,,-2.679670,,-3.739670,
1988,0.968000,,0.612486,,-0.355514,
1989,1.190000,,2.761022,,1.571022,
1990,1.630000,1.461936,2.940057,2.689348,1.310057,1.227412
1991,1.690000,1.520560,3.031438,2.814072,1.341438,1.293512
1992,1.890000,1.707424,2.029888,3.115605,0.139888,1.408181
1993,1.970000,1.773376,-3.751003,3.185430,-5.721003,1.412054
1994,1.800000,1.623152,-0.691175,3.176450,-2.491175,1.553298
1995,2.110000,1.828336,3.605315,3.441127,1.495315,1.612791
1996,2.060000,1.949248,3.384787,3.981367,1.324787,2.032119
1997,1.960000,1.996880,3.731014,3.960733,1.771014,1.963853
1998,2.010000,2.169088,3.630241,3.739996,1.620241,1.570908
1999,2.150000,2.425568,3.774115,3.819589,1.624115,1.394021
2000,2.330000,2.689376,3.965420,4.619329,1.635420,1.929953
2001,2.520000,2.861584,4.058494,4.414126,1.538494,1.552542
2002,2.540000,2.883568,4.113118,4.493455,1.573118,1.609887
2003,2.700000,3.059440,4.340632,4.695643,1.640632,1.636203
2004,2.700000,3.088752,4.464240,5.074337,1.764240,1.985585
2005,2.860000,3.293936,4.162281,4.455221,1.302281,1.161285
2006,3.480000,3.627360,5.405693,4.830880,1.925693,1.203520
2007,3.590000,3.685984,5.551638,4.752737,1.961638,1.066753
2008,3.710000,3.766592,6.115200,5.326737,2.405200,1.560145
2009,3.700000,3.707968,5.887031,4.863718,2.187031,1.155750
2010,3.960000,3.913152,6.331690,4.888763,2.371690,0.975611
2011,4.010000,3.916816,6.699981,4.984695,2.689981,1.067879
2012,4.100000,3.964448,6.769340,5.067497,2.669340,1.103049
2013,4.250000,4.067040,6.996837,5.116260,2.746837,1.049220
2014,4.420000,4.206272,7.087409,5.350895,2.667409,1.144623
2015,4.650000,4.209936,7.316439,5.037002,2.666439,0.827066
2016,4.800000,4.345504,5.107559,5.280008,0.307559,0.934504
2017,4.960000,4.536032,5.189507,5.639693,0.229507,1.103661
2018,5.105760,4.459088,6.254882,5.706307,1.149122,1.247219
2019,5.267031,4.521376,6.380826,5.774999,1.113795,1.253623
2020,5.430756,3.806896,6.773124,5.282810,1.342368,1.475914
2021,5.599940,4.085044,6.681216,5.757312,1.081276,1.672268
2022,5.345576,,6.829125,,1.483549,
