"Year","CYP production EXIOBASE 3.8.2","CYP production WIOD2016","CYP production OECDv2","CYP production Eora 199.082 (2023)","CYP production FIGARO April 2022","CYP production GCB 2023v26","CYP production Eurostat NAMEA","CYP consumption EXIOBASE 3.8.2","CYP consumption WIOD2016","CYP consumption OECDv2","CYP consumption Eora 199.082 (2023)","CYP consumption FIGARO April 2022","CYP consumption GCB 2023v26"
1970,,,,1.970000,,,,,,,1.420181,,
1971,,,,2.160000,,,,,,,1.278879,,
1972,,,,2.710000,,,,,,,1.340066,,
1973,,,,2.810000,,,,,,,1.253958,,
1974,,,,2.200000,,,,,,,0.728318,,
1975,,,,2.260000,,,,,,,1.243740,,
1976,,,,2.790000,,,,,,,2.055678,,
1977,,,,2.990000,,,,,,,2.947472,,
1978,,,,3.140000,,,,,,,3.116567,,
1979,,,,3.330000,,,,,,,3.666080,,
1980,,,,3.560000,,,,,,,3.973701,,
1981,,,,3.380000,,,,,,,3.816514,,
1982,,,,3.430000,,,,,,,3.736941,,
1983,,,,3.410000,,,,,,,3.329108,,
1984,,,,3.470000,,,,,,,3.265029,,
1985,,,,3.360000,,,,,,,4.436588,,
1986,,,,3.870000,,,,,,,1.856662,,
1987,,,,4.470000,,,,,,,2.420624,,
1988,,,,4.480000,,,,,,,4.943539,,
1989,,,,4.710000,,,,,,,6.887690,,
1990,,,,4.810000,,4.644861,,,,,6.983089,,6.791845
1991,,,,5.300000,,5.133205,,,,,7.661701,,6.895953
1992,,,,5.640000,,5.505656,,,,,7.548517,,8.323758
1993,,,,5.880000,,5.749300,,,,,3.873236,,7.571975
1994,,,,6.130000,,5.991493,,,,,6.114052,,7.573143
1995,6.944560,,4.949060,6,,5.861933,,8.733178,,7.343784,8.731034,,7.811782
1996,7.333095,,5.264649,6.350000,,6.211888,,10.167367,,7.264541,9.052338,,9.038431
1997,7.421089,,5.387484,6.440000,,6.298291,,10.682143,,7.138119,8.924726,,8.208517
1998,7.723712,,5.730543,6.730000,,6.592488,,9.956093,,7.791852,9.620411,,9.915517
1999,7.985690,,5.996148,7,,6.858746,,10.219845,,8.210162,9.865814,,8.393724
2000,8.276161,7.579399,6.233930,7.260000,,7.104597,,17.118361,9.417952,8.237872,10.211510,,7.703731
2001,8.374490,7.485675,6.104794,7.120000,,6.978500,,16.432063,9.826141,8.254346,10.154790,,7.869708
2002,9.144227,7.706394,6.269769,7.320000,,7.169426,,15.075341,10.732930,8.957821,10.396790,,8.358773
2003,9.829109,8.395771,6.940758,7.700000,,7.559648,,16.656406,12.227312,9.928541,11.060670,,8.575680
2004,9.814768,8.384688,6.829976,7.960000,,7.788730,,14.569371,13.068630,9.129071,11.686470,,9.276242
2005,10.733515,8.433299,7.000425,8.120000,,7.957322,,14.442174,12.800488,9.384186,11.872210,,9.663499
2006,11.937411,8.475036,7.078599,8.300000,,8.185009,,14.595671,12.737186,9.941151,12.421810,,9.900566
2007,12.857182,8.820744,7.400386,8.610000,,8.503495,,15.753126,13.367879,10.506523,13.143080,,10.754304
2008,15.060632,9.288893,7.575948,8.780000,,8.715729,9.368177,17.554076,14.955384,11.182391,13.738690,,11.830968
2009,14.485207,9.051648,7.484359,8.580000,,8.470194,9.119752,16.314884,13.863554,10.120128,12.709340,,8.731401
2010,13.652544,8.673586,7.249453,8.220000,8.753070,8.101123,8.741134,15.441669,13.343953,10.068347,12.534730,15.198372,8.651923
2011,13.498236,8.150945,6.997256,7.930000,8.200807,7.787636,8.203740,14.370254,12.086970,9.611856,12.247150,13.031082,8.350530
2012,12.417545,7.497140,,7.400000,7.553152,7.262770,7.555260,12.766951,11.066144,,11.850610,11.290965,8.148369
2013,11.899907,6.740955,,6.690000,6.767754,6.582609,6.769749,11.695785,10.130752,,10.792090,9.610843,6.493952
2014,12.381723,7.029156,,7.070000,7.048177,6.950800,7.050082,10.989270,10.005836,,10.960790,10.186305,7.081690
2015,12.695326,,,7.100000,6.910622,6.971575,6.913669,11.426106,,,10.945120,10.220996,6.691364
2016,13.503253,,,7.510000,7.362878,7.373670,7.363902,12.345204,,,11.243480,11.380537,6.867867
2017,13.722062,,,7.690000,7.604865,7.503812,7.606581,9.828383,,,11.164530,12.643819,7.830597
2018,13.611144,,,8.055357,7.625213,7.321720,7.541059,9.860100,,,10.041810,13.212760,7.803558
2019,13.557106,,,8.213873,7.365541,7.342336,7.323833,9.661497,,,9.441306,13.114028,7.577010
2020,13.699579,,,8.381296,7.149296,6.910908,6.947517,10.146293,,,9.487160,11.194359,6.380034
2021,13.878529,,,8.539019,,7.029358,6.980044,12.709643,,,9.454913,,6.835002
2022,14.622444,,,8.801615,,,,13.007396,,,9.709250,,
