"Year","UKR production Eora 199.082 (2023)","UKR production GCB 2023v26","UKR consumption Eora 199.082 (2023)","UKR consumption GCB 2023v26","UKR net_trade Eora 199.082 (2023)","UKR net_trade GCB 2023v26"
1970,517,,504.969800,,-12.030200,
1971,533,,518.464600,,-14.535400,
1972,555,,535.768400,,-19.231600,
1973,571,,551.445600,,-19.554400,
1974,581,,561.745800,,-19.254200,
1975,600,,583.038200,,-16.961800,
1976,620,,602.349700,,-17.650300,
1977,634,,619.535200,,-14.464800,
1978,710,,691.747000,,-18.253000,
1979,718,,698.816600,,-19.183400,
1980,740,,717.383700,,-22.616300,
1981,714,,693.282400,,-20.717600,
1982,717,,699.171500,,-17.828500,
1983,720,,700.908500,,-19.091500,
1984,716,,692.228900,,-23.771100,
1985,738,,728.190900,,-9.809100,
1986,780,,692.041400,,-87.958600,
1987,803,,697.373900,,-105.626100,
1988,819,,781.272000,,-37.728000,
1989,764,,760.229000,,-3.771000,
1990,742,706.226888,739.409800,502.681844,-2.590200,-203.545044
1991,669,632.924118,626.029200,457.216442,-42.970800,-175.707676
1992,623,589.282824,448.631300,440.852722,-174.368700,-148.430103
1993,545,510.320379,338.836700,373.356792,-206.163300,-136.963587
1994,445,419.492104,298.957600,274.232971,-146.042400,-145.259133
1995,427,390.072114,335.526500,219.274855,-91.473500,-170.797260
1996,376,351.769685,292.841800,288.102757,-83.158200,-63.666928
1997,366,340.514371,274.977800,276.899268,-91.022200,-63.615103
1998,357,328.807600,254.340000,244.190627,-102.660000,-84.616972
1999,328,298.578895,230.024200,237.831015,-97.975800,-60.747880
2000,318,285.674209,220.612600,221.928027,-97.387400,-63.746183
2001,331,303.891287,235.005000,257.024299,-95.995000,-46.866988
2002,320,295.900923,227.897800,251.136112,-92.102200,-44.764810
2003,321,307.245354,232.729000,237.073959,-88.271000,-70.171395
2004,330,310.625751,243.412400,226.376749,-86.587600,-84.249002
2005,335,313.530556,251.146700,251.023857,-83.853300,-62.506700
2006,347,333.061640,271.977100,266.224415,-75.022900,-66.837226
2007,354,336.819558,290.979600,292.901795,-63.020400,-43.917763
2008,340,325.983401,266.339400,299.115246,-73.660600,-26.868155
2009,291,277.593359,232.476000,251.183688,-58.524000,-26.409670
2010,308,294.365787,250.779100,248.396732,-57.220900,-45.969055
2011,322,308.376394,266.982500,268.748703,-55.017500,-39.627691
2012,318,304.424112,268.032200,272.943395,-49.967800,-31.480716
2013,307,297.479013,256.836900,273.362850,-50.163100,-24.116163
2014,266,257.639015,225.770500,222.373667,-40.229500,-35.265348
2015,231,223.787571,207.279000,184.881162,-23.721000,-38.906409
2016,240,233.961036,149.363300,179.904036,-90.636700,-54.057000
2017,228,223.080812,132.662300,181.189245,-95.337700,-41.891567
2018,231.414600,231.663821,176.850000,211.314003,-54.564600,-20.349818
2019,231.050500,221.943163,176.920500,205.862953,-54.130000,-16.080210
2020,230.891200,206.823849,181.495400,189.065553,-49.395800,-17.758296
2021,231.133500,210.153298,177.680000,196.626936,-53.453500,-13.526362
2022,228,,179.821700,,-48.178300,
