"Year","VGB production Eora 199.082 (2023)"
1970,0.018500
1971,0.022200
1972,0.022200
1973,0.025900
1974,0.025900
1975,0.025900
1976,0.025900
1977,0.029500
1978,0.029500
1979,0.029600
1980,0.029600
1981,0.044200
1982,0.036900
1983,0.040600
1984,0.040600
1985,0.047900
1986,0.055300
1987,0.062600
1988,0.066300
1989,0.066300
1990,0.066300
1991,0.066300
1992,0.070000
1993,0.073700
1994,0.081000
1995,0.084700
1996,0.095700
1997,0.099400
1998,0.103000
1999,0.103000
2000,0.103000
2001,0.107000
2002,0.114000
2003,0.121000
2004,0.125000
2005,0.133000
2006,0.143000
2007,0.151000
2008,0.162000
2009,0.165000
2010,0.173000
2011,0.177000
2012,0.177000
2013,0.177000
2014,0.183000
2015,0.186000
2016,0.192000
2017,0.191000
2018,0.191000
2019,0.191000
2020,0.191000
2021,0.191000
2022,0.191000
