"Year","SAU production OECDv2","SAU production Eora 199.082 (2023)","SAU production FIGARO April 2022","SAU production GCB 2023v26","SAU consumption OECDv2","SAU consumption Eora 199.082 (2023)","SAU consumption FIGARO April 2022","SAU consumption GCB 2023v26","SAU net_trade OECDv2","SAU net_trade Eora 199.082 (2023)","SAU net_trade FIGARO April 2022","SAU net_trade GCB 2023v26"
1970,,40.900000,,,,3.116470,,,,-37.783530,,
1971,,54,,,,4.955018,,,,-49.044982,,
1972,,65.600000,,,,9.191430,,,,-56.408570,,
1973,,89.300000,,,,19.611420,,,,-69.688580,,
1974,,92.500000,,,,41.618100,,,,-50.881900,,
1975,,76.100000,,,,46.485320,,,,-29.614680,,
1976,,93.600000,,,,72.105820,,,,-21.494180,,
1977,,105,,,,99.722860,,,,-5.277140,,
1978,,101,,,,108.438700,,,,7.438700,,
1979,,118,,,,132.558300,,,,14.558300,,
1980,,143,,,,154.320900,,,,11.320900,,
1981,,140,,,,163.722300,,,,23.722300,,
1982,,126,,,,160.293500,,,,34.293500,,
1983,,126,,,,155.920100,,,,29.920100,,
1984,,117,,,,135.705300,,,,18.705300,,
1985,,129,,,,128.073000,,,,-0.927000,,
1986,,152,,,,113.093600,,,,-38.906400,,
1987,,142,,,,103.587900,,,,-38.412100,,
1988,,153,,,,111.808000,,,,-41.192000,,
1989,,154,,,,123.416200,,,,-30.583800,,
1990,,140,,208.496989,,112.567600,,192.763633,,-27.432400,,-15.733357
1991,,201,,288.545496,,162.851700,,261.468081,,-38.148300,,-27.077415
1992,,219,,316.174686,,172.750100,,285.948943,,-46.249900,,-30.225743
1993,,244,,340.642423,,177.378500,,312.503981,,-66.621500,,-28.138442
1994,,244,,333.642993,,168.011900,,306.460650,,-75.988100,,-27.182343
1995,192.436153,192,,268.131871,170.595579,145.279500,,249.302886,-21.840575,-46.720500,,-18.828985
1996,204.748854,214,,263.325846,176.025941,160.944000,,245.907878,-28.722913,-53.056000,,-17.417969
1997,207.419947,182,,221.670027,178.032238,136.246200,,209.478762,-29.387709,-45.753800,,-12.191264
1998,221.387049,177,,213.156893,200.520793,135.480500,,222.396029,-20.866256,-41.519500,,9.239135
1999,227.437636,194,,231.482473,197.895654,143.670900,,189.129954,-29.541982,-50.329100,,-42.352519
2000,236.187635,255,,302.328170,203.818266,194.108700,,206.015871,-32.369369,-60.891300,,-96.312299
2001,241.119302,260,,302.702781,211.491627,188.259500,,219.844134,-29.627675,-71.740500,,-82.858647
2002,256.782658,286,,331.979811,215.824582,204.330100,,233.028370,-40.958076,-81.669900,,-98.951441
2003,267.864640,290,,333.990690,223.053055,245.134500,,303.546418,-44.811585,-44.865500,,-30.444271
2004,283.902735,348,,401.013179,237.351095,297.902500,,351.589297,-46.551640,-50.097500,,-49.423883
2005,299.297862,352,,402.847720,250.472271,305.922200,,349.151229,-48.825591,-46.077800,,-53.696491
2006,316.427167,383,,439.116936,268.528952,356.077000,,394.081099,-47.898215,-26.923000,,-45.035837
2007,332.574963,350,,394.102804,284.608429,342.634900,,369.755577,-47.966534,-7.365100,,-24.347227
2008,361.503710,391,,440.343641,321.207660,385.053500,,415.056459,-40.296050,-5.946500,,-25.287181
2009,377.734995,421,,473.214888,359.320673,410.626300,,473.472052,-18.414321,-10.373700,,0.257164
2010,414.091420,468,492.111233,524.604124,376.505055,446.869400,452.501874,517.870421,-37.586366,-21.130600,-39.609359,-6.733704
2011,428.557808,447,514.595139,502.926108,386.690277,437.414800,455.930247,497.324447,-41.867530,-9.585200,-58.664892,-5.601661
2012,,497,545.060289,566.825513,,497.577000,505.292644,547.790152,,0.577000,-39.767645,-19.035361
2013,,481,552.544575,544.563564,,497.189600,524.978408,536.387624,,16.189600,-27.566167,-8.175940
2014,,533,592.902496,612.841913,,527.842800,581.862537,609.071943,,-5.157200,-11.039959,-3.769971
2015,,548,618.690335,678.849324,,547.205000,605.901717,699.449774,,-0.795000,-12.788618,20.600450
2016,,557,617.781341,697.420312,,612.341700,640.531086,696.509967,,55.341700,22.749745,-0.910345
2017,,547,606.578785,680.853917,,572.072300,601.158062,666.199374,,25.072300,-5.420723,-14.654543
2018,,593.303900,582.665005,686.896295,,621.458500,562.322466,658.011425,,28.154600,-20.342539,-28.884870
2019,,613.244700,586.474831,707.125241,,630.515500,593.561523,683.149217,,17.270800,7.086692,-23.976024
2020,,633.867500,501.926417,610.772973,,651.486600,520.018322,614.914703,,17.619100,18.091905,4.141731
2021,,654.220700,,630.649922,,661.156300,,622.083069,,6.935600,,-8.566854
2022,,674.263400,,,,674.441900,,,,0.178500,,
