"Year","MUS production Eora 199.082 (2023)","MUS production GCB 2023v26"
1970,0.594000,
1971,0.484000,
1972,0.822000,
1973,0.798000,
1974,0.815000,
1975,0.696000,
1976,0.710000,
1977,0.741000,
1978,0.717000,
1979,0.750000,
1980,0.682000,
1981,0.630000,
1982,0.585000,
1983,0.687000,
1984,0.724000,
1985,0.812000,
1986,0.912000,
1987,1.060000,
1988,0.968000,
1989,1.190000,
1990,1.630000,1.461936
1991,1.690000,1.520560
1992,1.890000,1.707424
1993,1.970000,1.773376
1994,1.800000,1.623152
1995,2.110000,1.828336
1996,2.060000,1.949248
1997,1.960000,1.996880
1998,2.010000,2.169088
1999,2.150000,2.425568
2000,2.330000,2.689376
2001,2.520000,2.861584
2002,2.540000,2.883568
2003,2.700000,3.059440
2004,2.700000,3.088752
2005,2.860000,3.293936
2006,3.480000,3.627360
2007,3.590000,3.685984
2008,3.710000,3.766592
2009,3.700000,3.707968
2010,3.960000,3.913152
2011,4.010000,3.916816
2012,4.100000,3.964448
2013,4.250000,4.067040
2014,4.420000,4.206272
2015,4.650000,4.209936
2016,4.800000,4.345504
2017,4.960000,4.536032
2018,5.105760,4.459088
2019,5.267031,4.521376
2020,5.430756,3.806896
2021,5.599940,4.085044
2022,5.345576,
