"Year","BOL production Eora 199.082 (2023)","BOL production GCB 2023v26"
1970,2.150000,
1971,2.280000,
1972,2.550000,
1973,2.690000,
1974,3.060000,
1975,3.600000,
1976,3.950000,
1977,4.140000,
1978,4.480000,
1979,4.540000,
1980,4.640000,
1981,4.800000,
1982,4.400000,
1983,4.300000,
1984,4.020000,
1985,4.070000,
1986,3.780000,
1987,4.060000,
1988,4.120000,
1989,4.580000,
1990,5.430000,10.006868
1991,5.740000,10.495215
1992,6.410000,11.014244
1993,7.020000,11.550309
1994,8.190000,9.638258
1995,8.780000,9.016550
1996,8.910000,10.016150
1997,9.150000,11.721163
1998,8.970000,11.252271
1999,7.920000,10.939507
2000,7.830000,8.433878
2001,7.050000,8.742807
2002,9.060000,10.403424
2003,9.740000,10.968004
2004,9.770000,11.031935
2005,10.900000,12.312479
2006,13.500000,12.332331
2007,11.100000,12.695380
2008,11.900000,12.965221
2009,12.600000,13.538143
2010,13.700000,14.718776
2011,14.500000,15.948673
2012,16.900000,17.535340
2013,17,17.769010
2014,18.400000,19.887891
2015,17.100000,19.886526
2016,17.900000,21.239286
2017,18.100000,22.171245
2018,19.876620,22.501642
2019,20.600460,22.605112
2020,21.332940,18.326305
2021,22.070220,21.695220
2022,22.036340,
