"Year","PAK production Eora 199.082 (2023)","PAK production GCB 2023v26","PAK consumption Eora 199.082 (2023)","PAK consumption GCB 2023v26"
1970,25.300000,,25.092140,
1971,24.200000,,23.656370,
1972,20.300000,,19.079780,
1973,21.400000,,20.208050,
1974,22.800000,,22.156790,
1975,24.800000,,25.555100,
1976,24.500000,,26.155400,
1977,26.100000,,28.976870,
1978,27.900000,,31.107520,
1979,30.300000,,34.981900,
1980,34.200000,,39.816990,
1981,37,,43.090560,
1982,41.100000,,45.973200,
1983,44.200000,,48.199620,
1984,46.800000,,49.997190,
1985,51.500000,,58.650590,
1986,52.600000,,47.210330,
1987,56.700000,,50.310690,
1988,61.300000,,59.770480,
1989,64,,63.023780,
1990,71.600000,67.827369,68.389980,72.362450
1991,71.200000,67.477105,67.225650,70.591821
1992,75.700000,72.014921,71.066980,77.567756
1993,81.600000,77.175721,72.521620,82.365227
1994,88.400000,84.018296,80.171330,89.025056
1995,87.900000,83.614359,82.736490,88.752655
1996,98,93.538964,91.890880,99.040703
1997,98.200000,93.788159,91.696900,97.802934
1998,102,96.740735,92.961710,97.059281
1999,105,99.389325,95.100490,107.045832
2000,111,103.939512,99.613300,108.763308
2001,113,105.400679,101.133900,110.462719
2002,119,112.903875,105.599900,121.271367
2003,127,117.490988,114.391100,120.290082
2004,139,129.623541,123.294600,141.405897
2005,144,134.692313,130.623300,146.897157
2006,152,143.550718,140.582700,156.912673
2007,165,155.402220,150.131800,167.971319
2008,166,153.921685,150.208400,167.694188
2009,166,155.418864,151.507500,167.083953
2010,168,153.908657,152.282100,165.769306
2011,169,154.650890,155.742000,168.633669
2012,170,154.885588,156.961800,171.160796
2013,172,151.524605,157.931800,165.118266
2014,175,156.529345,160.508800,173.087876
2015,183,166.432899,166.921000,188.516722
2016,200,195.791500,208.745300,220.400008
2017,213,216.158426,226.166000,240.727909
2018,217.269300,205.060932,228.669000,227.784780
2019,222.930900,206.061237,228.886200,226.952956
2020,226.226800,200.602803,232.694800,219.594958
2021,231.022100,223.285314,236.203700,246.160820
2022,235.572500,,240.106600,
