"Year","RUS production EXIOBASE 3.8.2","RUS production WIOD2016","RUS production OECDv2","RUS production Eora 199.082 (2023)","RUS production FIGARO April 2022","RUS production GCB 2023v26"
1970,,,,1540,,
1971,,,,1630,,
1972,,,,1720,,
1973,,,,1790,,
1974,,,,1850,,
1975,,,,1940,,
1976,,,,2020,,
1977,,,,2080,,
1978,,,,2220,,
1979,,,,2240,,
1980,,,,2320,,
1981,,,,2280,,
1982,,,,2320,,
1983,,,,2350,,
1984,,,,2360,,
1985,,,,2540,,
1986,,,,2520,,
1987,,,,2620,,
1988,,,,2690,,
1989,,,,2690,,
1990,,,,2560,,2536.247742
1991,,,,2440,,2406.755722
1992,,,,2010,,1966.504811
1993,,,,1900,,1866.729113
1994,,,,1670,,1647.664601
1995,1607.912493,,1558.188002,1640,,1619.727116
1996,1576.442204,,1525.874875,1610,,1586.822085
1997,1467.418578,,1425.740171,1510,,1482.244511
1998,1456.780603,,1415.932446,1490,,1465.253459
1999,1493.378461,,1455.480234,1520,,1494.178837
2000,1525.707638,1599.284302,1496.395096,1500,,1479.142483
2001,1526.428720,1601.684551,1497.834974,1530,,1515.647133
2002,1520.979021,1593.591063,1487.028349,1520,,1506.787948
2003,1550.033766,1650.379362,1517.835256,1550,,1537.018309
2004,1546.557474,1650.340471,1509.198500,1570,,1543.957081
2005,1541.096365,1652.047697,1511.993649,1580,,1562.576897
2006,1599.406286,1734.420253,1566.983828,1630,,1623.001934
2007,1598.676032,1719.273181,1567.024603,1630,,1623.781287
2008,1613.474843,1739.822701,1586.412305,1650,,1652.064514
2009,1494.961720,1616.533425,1478.887562,1550,,1545.034394
2010,1588.430205,1712.952672,1580.845032,1640,1723.183084,1632.783158
2011,1666.668178,1790.576936,1654.045325,1690,1808.519239,1685.909605
2012,1614.541927,1775.981244,,1710,1792.135514,1701.268292
2013,1578.664288,1742.486833,,1640,1740.311813,1640.437428
2014,1549.834851,1723.086129,,1640,1728.353418,1639.959073
2015,1528.618343,,,1650,1732.761963,1638.675263
2016,1508.467605,,,1640,1708.642796,1634.884975
2017,1533.262633,,,1670,1739.541364,1666.121206
2018,1592.308642,,,1657.107000,1816.232205,1712.494428
2019,1581.090195,,,1657.668000,1888.233947,1705.030917
2020,1627.480009,,,1662.225000,1492.425573,1632.929312
2021,1822.470949,,,1667.814000,,1711.993315
2022,1853.212306,,,1638.992000,,
