"Year","LIE production Eora 199.082 (2023)","LIE consumption Eora 199.082 (2023)","LIE net_trade Eora 199.082 (2023)"
1970,0.224000,-0.173998,-0.397998
1971,0.232000,-0.437513,-0.669513
1972,0.238000,-0.824315,-1.062315
1973,0.256000,-1.010735,-1.266735
1974,0.230000,-1.020207,-1.250207
1975,0.218000,-0.645299,-0.863299
1976,0.226000,-0.394539,-0.620539
1977,0.230000,0.228004,-0.001996
1978,0.236000,0.167406,-0.068594
1979,0.224000,0.412041,0.188041
1980,0.227000,0.419588,0.192588
1981,0.218000,0.386443,0.168443
1982,0.205000,0.161280,-0.043720
1983,0.225000,-0.279320,-0.504320
1984,0.220000,-0.525628,-0.745628
1985,0.223000,0.480897,0.257897
1986,0.237000,-2.244361,-2.481361
1987,0.225000,-2.467732,-2.692732
1988,0.228000,-0.568695,-0.796695
1989,0.221000,0.491824,0.270824
1990,0.215000,0.424298,0.209298
1991,0.221000,0.420482,0.199482
1992,0.221000,-0.338953,-0.559953
1993,0.228000,-3.753022,-3.981022
1994,0.215000,-2.039763,-2.254763
1995,0.217000,0.331325,0.114325
1996,0.218000,0.132860,-0.085140
1997,0.230000,0.357161,0.127161
1998,0.241000,0.328570,0.087570
1999,0.238000,0.328611,0.090611
2000,0.229000,0.312099,0.083099
2001,0.227000,0.322535,0.095535
2002,0.232000,0.326533,0.094533
2003,0.241000,0.336648,0.095648
2004,0.242000,0.340102,0.098102
2005,0.243000,0.346129,0.103129
2006,0.244000,0.348666,0.104666
2007,0.214000,0.320462,0.106462
2008,0.232000,0.335798,0.103798
2009,0.218000,0.318258,0.100258
2010,0.204000,0.314696,0.110696
2011,0.190000,0.319738,0.129738
2012,0.198000,0.308983,0.110983
2013,0.206000,0.319298,0.113298
2014,0.175000,0.273246,0.098246
2015,0.172000,0.263870,0.091870
2016,0.162000,-0.692763,-0.854763
2017,0.169000,-0.909419,-1.078419
2018,0.169000,0.942735,0.773734
2019,0.169000,0.920966,0.751966
2020,0.169000,0.945381,0.776381
2021,0.169000,0.951064,0.782064
2022,0.169000,0.973428,0.804428
