"Year","PAN production Eora 199.082 (2023)","PAN production GCB 2023v26","PAN consumption Eora 199.082 (2023)","PAN consumption GCB 2023v26","PAN net_trade Eora 199.082 (2023)","PAN net_trade GCB 2023v26"
1970,2.700000,,2.471426,,-0.228574,
1971,3.100000,,2.532232,,-0.567768,
1972,3.530000,,2.535156,,-0.994844,
1973,3.990000,,3.059214,,-0.930786,
1974,3.870000,,3.534791,,-0.335209,
1975,4.790000,,5.025392,,0.235392,
1976,4.650000,,5.416670,,0.766670,
1977,4.610000,,6.017092,,1.407092,
1978,3.940000,,5.589506,,1.649506,
1979,4.230000,,6.694554,,2.464554,
1980,3.130000,,6.047348,,2.917348,
1981,3.350000,,6.084832,,2.734832,
1982,3.300000,,5.425355,,2.125355,
1983,3.500000,,4.893013,,1.393013,
1984,2.890000,,4.264873,,1.374873,
1985,2.750000,,5.959138,,3.209138,
1986,2.760000,,2.093664,,-0.666336,
1987,3.210000,,2.124194,,-1.085806,
1988,2.940000,,3.833108,,0.893108,
1989,2.540000,,5.481312,,2.941312,
1990,2.770000,2.631999,5.403104,2.959141,2.633104,0.327142
1991,3.250000,3.104491,6.418423,3.073571,3.168423,-0.030920
1992,4.250000,4.112287,6.836749,3.595035,2.586749,-0.517252
1993,3.930000,3.784946,2.990884,3.472205,-0.939116,-0.312741
1994,4.320000,4.177258,5.250717,3.628658,0.930717,-0.548600
1995,2.970000,3.652970,6.513476,3.576631,3.543476,-0.076339
1996,4.610000,4.446773,7.621906,4.189792,3.011906,-0.256981
1997,5.620000,4.630072,8.477093,4.317640,2.857093,-0.312431
1998,5.930000,5.900714,8.581993,5.399252,2.651993,-0.501463
1999,5.650000,5.622234,8.061860,5.809160,2.411860,0.186926
2000,5.750000,5.728391,8.205690,4.816624,2.455690,-0.911767
2001,6.980000,6.953090,8.912336,5.179389,1.932336,-1.773701
2002,5.840000,5.821097,7.973641,4.819737,2.133641,-1.001361
2003,6.110000,6.090004,8.253588,-0.379601,2.143588,-6.469606
2004,5.750000,5.710970,8.253798,-0.297387,2.503798,-6.008357
2005,6.780000,6.971338,9.253329,-1.753521,2.473329,-8.724859
2006,7.310000,7.524040,9.758131,-0.270388,2.448131,-7.794427
2007,7.130000,7.349627,9.946398,0.564264,2.816398,-6.785363
2008,7.220000,7.334595,10.245920,0.090568,3.025920,-7.244028
2009,8.460000,8.460693,11.089440,1.193439,2.629440,-7.267255
2010,9.040000,9.072099,12.116140,1.151974,3.076140,-7.920125
2011,9.940000,9.952930,13.692040,0.020432,3.752040,-9.932499
2012,9.890000,9.768100,13.854860,-2.150728,3.964860,-11.918828
2013,10.500000,10.513283,14.254610,-1.202501,3.754610,-11.715784
2014,8.590000,10.855411,12.740210,0.218704,4.150210,-10.636706
2015,10.600000,10.788440,14.114840,1.396350,3.514840,-9.392091
2016,11,10.438870,14.278310,2.214062,3.278310,-8.224809
2017,10.900000,11.223156,14.334270,17.912326,3.434270,6.689170
2018,11.642370,10.755982,16.129780,17.128047,4.487410,6.372065
2019,12.080390,13.380774,15.962950,17.442282,3.882560,4.061508
2020,12.618280,10.324345,16.618350,15.957848,4.000070,5.633503
2021,12.252830,11.689670,16.026820,15.659173,3.773990,3.969503
2022,12.643370,,16.608080,,3.964710,
