"Year","CYP production EXIOBASE 3.8.2","CYP production WIOD2016","CYP production OECDv2","CYP production Eora 199.082","CYP production FIGARO April 2022","CYP production GCB 2023v26","CYP production Eurostat NAMEA","CYP consumption EXIOBASE 3.8.2","CYP consumption WIOD2016","CYP consumption OECDv2","CYP consumption Eora 199.082","CYP consumption FIGARO April 2022","CYP consumption GCB 2023v26","CYP net_trade EXIOBASE 3.8.2","CYP net_trade WIOD2016","CYP net_trade OECDv2","CYP net_trade Eora 199.082","CYP net_trade FIGARO April 2022","CYP net_trade GCB 2023v26"
1990,,,,4.540000,,4.644861,,,,,6.392788,,6.791845,,,,1.852788,,2.146985
1991,,,,5.100000,,5.133205,,,,,7.227356,,6.895953,,,,2.127356,,1.762748
1992,,,,5.350000,,5.505656,,,,,9.596439,,8.323758,,,,4.246439,,2.818102
1993,,,,5.540000,,5.749300,,,,,12.879448,,7.571975,,,,7.339448,,1.822675
1994,,,,5.730000,,5.991493,,,,,12.612100,,7.573143,,,,6.882100,,1.581651
1995,6.944560,,4.949060,5.610000,,5.861933,,8.733178,,7.343784,8.123992,,7.811782,1.788618,,2.394724,2.513992,,1.949849
1996,7.333095,,5.264649,5.910000,,6.211888,,10.167367,,7.264541,15.945393,,9.038431,2.834272,,1.999892,10.035393,,2.826543
1997,7.421089,,5.387484,5.980000,,6.298291,,10.682143,,7.138119,8.197423,,8.208517,3.261054,,1.750634,2.217423,,1.910227
1998,7.723712,,5.730543,6.450000,,6.592488,,9.956093,,7.791852,9.072633,,9.915517,2.232381,,2.061308,2.622633,,3.323029
1999,7.985690,,5.996148,6.680000,,6.858746,,10.219845,,8.210162,9.243205,,8.393724,2.234156,,2.214013,2.563205,,1.534978
2000,8.276161,7.579399,6.233930,7.020000,,7.104597,,17.118361,9.417952,8.237872,9.674946,,7.703731,8.842200,1.838553,2.003942,2.654946,,0.599134
2001,8.374490,7.485675,6.104794,6.870000,,6.978500,,16.432063,9.826141,8.254346,9.603530,,7.869708,8.057573,2.340466,2.149552,2.733530,,0.891207
2002,9.144227,7.706394,6.269769,7.060000,,7.169426,,15.075341,10.732930,8.957821,9.872729,,8.358773,5.931114,3.026536,2.688051,2.812729,,1.189347
2003,9.829109,8.395771,6.940758,7.800000,,7.559648,,16.656406,12.227312,9.928541,10.846793,,8.575680,6.827297,3.831540,2.987783,3.046793,,1.016032
2004,9.814768,8.384688,6.829976,7.730000,,7.788730,,14.569371,13.068630,9.129071,11.115783,,9.276242,4.754603,4.683942,2.299095,3.385783,,1.487512
2005,10.733515,8.433299,7.000425,7.880000,,7.957322,,14.442174,12.800488,9.384186,11.355406,,9.663499,3.708659,4.367189,2.383761,3.475406,,1.706178
2006,11.937411,8.475036,7.078599,7.920000,,8.185009,,14.595671,12.737186,9.941151,11.713704,,9.900566,2.658259,4.262150,2.862552,3.793704,,1.715557
2007,12.857182,8.820744,7.400386,8.280000,,8.503495,,15.753126,13.367879,10.506523,12.505454,,10.754304,2.895944,4.547135,3.106137,4.225454,,2.250810
2008,15.060632,9.288893,7.575948,8.430000,,8.715729,9.368177,17.554076,14.955384,11.182391,13.006416,,11.830968,2.493444,5.666491,3.606443,4.576416,,3.115239
2009,14.485207,9.051648,7.484359,8.250000,,8.470194,9.119752,16.314884,13.863554,10.120128,12.082400,,8.731401,1.829677,4.811906,2.635769,3.832400,,0.261207
2010,13.652544,8.673586,7.249453,7.980000,8.753070,8.101123,8.741134,15.441669,13.343953,10.068347,11.975801,15.198372,8.651923,1.789125,4.670367,2.818894,3.995801,6.445302,0.550799
2011,13.498236,8.150945,6.997256,7.700000,8.200807,7.787636,8.203740,14.370254,12.086970,9.611856,11.709632,13.031082,8.350530,0.872018,3.936025,2.614600,4.009632,4.830275,0.562894
2012,12.417545,7.497140,,7.150000,7.553152,7.262770,7.555260,12.766951,11.066144,,11.363147,11.290965,8.148369,0.349407,3.569004,,4.213147,3.737813,0.885599
2013,11.899907,6.740955,,6.580000,6.767754,6.582609,6.769749,11.695785,10.130752,,10.475950,9.610843,6.493952,-0.204123,3.389797,,3.895950,2.843089,-0.088656
2014,12.381723,7.029156,,6.990000,7.048177,6.950800,7.050082,10.989270,10.005836,,10.584039,10.186305,7.081690,-1.392453,2.976680,,3.594039,3.138128,0.130890
2015,12.695326,,,6.900000,6.910622,6.971575,6.913669,11.426106,,,10.505482,10.220996,6.691364,-1.269219,,,3.605482,3.310374,-0.280211
2016,13.503253,,,7.350000,7.362878,7.373670,7.363902,12.345204,,,11.468462,11.380537,6.867867,-1.158049,,,4.118462,4.017659,-0.505803
2017,13.722062,,,7.470000,7.604865,7.503812,7.606581,9.828383,,,11.386277,12.643819,7.830597,-3.893679,,,3.916277,5.038954,0.326785
2018,13.611144,,,7.389037,7.625213,7.321720,7.541059,9.860100,,,9.481383,13.212760,7.803558,-3.751044,,,2.092346,5.587547,0.481838
2019,13.557106,,,7.413288,7.365541,7.342336,7.323833,9.661497,,,8.729411,13.114028,7.577010,-3.895609,,,1.316124,5.748487,0.234674
2020,13.699579,,,5.371959,7.149296,6.910908,6.947517,10.146293,,,6.963483,11.194359,6.380034,-3.553285,,,1.591524,4.045063,-0.530875
2021,13.878529,,,5.552337,,7.029358,6.980044,12.709643,,,6.949159,,6.835002,-1.168886,,,1.396823,,-0.194356
2022,14.622444,,,,,,,13.007396,,,,,,-1.615049,,,,,
