"Year","UKR production Eora 199.082 (2023)","UKR production GCB 2023v26"
1970,517,
1971,533,
1972,555,
1973,571,
1974,581,
1975,600,
1976,620,
1977,634,
1978,710,
1979,718,
1980,740,
1981,714,
1982,717,
1983,720,
1984,716,
1985,738,
1986,780,
1987,803,
1988,819,
1989,764,
1990,742,706.226888
1991,669,632.924118
1992,623,589.282824
1993,545,510.320379
1994,445,419.492104
1995,427,390.072114
1996,376,351.769685
1997,366,340.514371
1998,357,328.807600
1999,328,298.578895
2000,318,285.674209
2001,331,303.891287
2002,320,295.900923
2003,321,307.245354
2004,330,310.625751
2005,335,313.530556
2006,347,333.061640
2007,354,336.819558
2008,340,325.983401
2009,291,277.593359
2010,308,294.365787
2011,322,308.376394
2012,318,304.424112
2013,307,297.479013
2014,266,257.639015
2015,231,223.787571
2016,240,233.961036
2017,228,223.080812
2018,231.414600,231.663821
2019,231.050500,221.943163
2020,230.891200,206.823849
2021,231.133500,210.153298
2022,228,
