"Year","GEO production Eora 199.082 (2023)","GEO production GCB 2023v26"
1970,20.600000,
1971,21.600000,
1972,23,
1973,23.600000,
1974,24.200000,
1975,25.800000,
1976,26.400000,
1977,26.800000,
1978,27.900000,
1979,28.700000,
1980,29,
1981,29.700000,
1982,30.100000,
1983,30.600000,
1984,31.500000,
1985,33.100000,
1986,32.600000,
1987,34.900000,
1988,36,
1989,35.700000,
1990,35.300000,15.948386
1991,28.100000,15.872158
1992,17.300000,15.276915
1993,9.960000,9.915700
1994,6.370000,6.067844
1995,4.320000,2.290286
1996,7.120000,4.053812
1997,7.820000,4.426263
1998,6.450000,4.939172
1999,5.200000,4.310981
2000,3.910000,4.500388
2001,4.080000,3.724984
2002,3.880000,3.348291
2003,4.130000,3.731537
2004,5.040000,4.271842
2005,5.240000,5.013924
2006,6.430000,6.093048
2007,7.360000,6.361687
2008,7.250000,5.308807
2009,6.750000,6.135626
2010,6.820000,6.208043
2011,9.340000,7.804526
2012,9.970000,8.254475
2013,9.400000,8.012546
2014,10.700000,8.938688
2015,9.170000,9.756186
2016,9.570000,10.067680
2017,9.750000,10.172526
2018,11.541670,10.062534
2019,12.347160,10.886591
2020,13.208460,10.574546
2021,14.456230,11.048193
2022,14.702320,
