"Year","YEM production Eora 199.082 (2023)","YEM consumption Eora 199.082 (2023)"
1970,2.610000,2.263375
1971,2.070000,1.304819
1972,1.610000,0.256568
1973,2.840000,1.196910
1974,2.360000,0.788224
1975,2.280000,1.306752
1976,2.700000,2.196483
1977,3.120000,3.421506
1978,3.260000,3.546445
1979,3.380000,4.085524
1980,3.470000,4.271744
1981,4.390000,5.211926
1982,6.120000,6.719053
1983,6.550000,6.715664
1984,7.420000,7.417540
1985,8.720000,10.317830
1986,8.500000,5.789377
1987,8.900000,5.379772
1988,9.840000,10.333020
1989,10.100000,13.182350
1990,9.840000,12.941790
1991,9.450000,14.949140
1992,10.200000,15.038890
1993,8.940000,3.767629
1994,10.200000,9.470885
1995,11.400000,12.108610
1996,12,11.327990
1997,15.200000,13.871830
1998,14.100000,13.067600
1999,16.400000,14.754820
2000,17.700000,15.378880
2001,18.600000,16.461360
2002,17.400000,15.408560
2003,18.800000,16.742080
2004,19.700000,17.215110
2005,20.700000,17.903940
2006,21.900000,19.320810
2007,21.900000,19.902550
2008,22.400000,20.411390
2009,24.200000,23.058660
2010,22.500000,21.316870
2011,21,20.688030
2012,23.500000,22.801720
2013,32.400000,30.060460
2014,29,27.631980
2015,25.900000,25.589520
2016,25.100000,28.317660
2017,25,27.859780
2018,27.149850,30.477010
2019,28.479290,31.174340
2020,29.762480,32.611300
2021,32.127400,34.201530
2022,29.673330,33.444810
